,solver,r,c,time,comp,sing_values,expl_var
0,randomized,20000,400,0.1582461833953857,0.1,,
1,full,40000,800,1.6999733130137125,0.3,,
2,full,30000,300,0.2934660275777181,0.2,,
3,full,20000,200,0.106316582361857,0.4,,
4,randomized,70000,800,3.264820686976115,0.3,,
5,randomized,60000,700,0.9941791534423828,0.1,,
6,randomized,30000,200,0.1568435192108154,0.2,,
7,randomized,70000,1000,6.7678239663441975,0.5,,
8,randomized,30000,900,1.509390370051066,0.3,,
9,randomized,100000,300,0.5663624127705892,0.1,,
10,full,80000,100,0.5167651494344075,0.1,,
11,randomized,30000,100,0.0844139258066813,0.3,,
12,randomized,30000,600,0.8882238705952962,0.3,,
13,full,60000,600,1.7361249287923175,0.6,,
14,randomized,50000,600,1.1033665974934896,0.2,,
15,randomized,30000,800,2.497891457875569,0.6,,
16,randomized,100000,1000,10.694258292516071,0.5,,
17,randomized,40000,100,0.0693572044372558,0.1,,
18,randomized,10000,600,0.1260468324025472,0.1,,
19,full,10000,1000,0.6964189211527506,0.2,,
20,randomized,20000,800,0.5718851566314698,0.2,,
21,full,60000,200,0.5065878868103028,0.6,,
22,full,30000,100,0.068902031580607,0.1,,
23,full,50000,300,0.5785831769307455,0.2,,
24,full,70000,700,2.502950604756673,0.6,,
25,randomized,10000,200,0.1245228290557861,0.4,,
26,randomized,90000,1000,5.869094308217367,0.3,,
27,randomized,40000,1000,3.031208531061808,0.4,,
28,randomized,80000,200,0.6978622436523437,0.3,,
29,randomized,80000,300,1.204518779118856,0.3,,
30,randomized,50000,800,4.179277467727661,0.6,,
31,full,10000,700,0.3889066855112711,0.4,,
32,randomized,80000,500,2.705425198872884,0.4,,
33,full,30000,1000,1.7895742734273274,0.4,,
34,randomized,40000,200,0.5397424379984538,0.5,,
35,randomized,10000,500,0.418985382715861,0.6,,
36,randomized,50000,900,2.525110244750977,0.3,,
37,randomized,80000,200,0.4174906889597575,0.2,,
38,randomized,90000,800,4.326213121414185,0.3,,
39,randomized,60000,400,1.807081111272176,0.5,,
40,full,50000,200,0.3896028200785319,0.2,,
41,full,20000,300,0.1949255148569743,0.4,,
42,full,30000,500,0.5937438329060872,0.2,,
43,full,50000,100,0.240877103805542,0.2,,
44,full,40000,400,0.6281037966410319,0.2,,
45,randomized,60000,400,1.5227226893107095,0.4,,
46,randomized,90000,500,2.912255016962688,0.3,,
47,full,50000,400,0.8258742809295654,0.1,,
48,randomized,60000,300,0.2999207178751628,0.1,,
49,randomized,10000,100,0.0829925060272216,0.4,,
50,full,70000,200,0.6073036988576254,0.2,,
51,randomized,10000,400,0.0697771708170573,0.1,,
52,randomized,60000,1000,2.669936354955037,0.2,,
53,full,70000,900,3.387840191523234,0.1,,
54,full,60000,100,0.3376842021942138,0.3,,
55,randomized,20000,500,0.8136365413665771,0.6,,
56,randomized,70000,500,0.6909628073374431,0.1,,
57,randomized,90000,200,0.54276123046875,0.2,,
58,full,50000,700,1.7311474323272704,0.1,,
59,randomized,90000,800,6.536909087498983,0.5,,
60,full,50000,200,0.3817954063415527,0.3,,
61,randomized,100000,400,2.080753024419149,0.3,,
62,randomized,70000,900,1.680046017964681,0.1,,
63,randomized,30000,900,2.048119481404622,0.4,,
64,full,60000,400,1.0385517120361327,0.3,,
65,randomized,90000,600,3.8277063687642414,0.4,,
66,full,60000,100,0.3306782881418864,0.5,,
67,randomized,90000,800,5.372871557871501,0.4,,
68,randomized,30000,600,0.5691667556762695,0.2,,
69,randomized,50000,500,0.4613783359527588,0.1,,
70,randomized,20000,1000,0.4606420834859212,0.1,,
71,randomized,90000,100,0.1828492323557536,0.1,,
72,randomized,90000,700,3.6973790009816487,0.3,,
73,full,60000,800,2.668042786916097,0.2,,
74,full,100000,1000,6.404072697957357,0.1,,
75,full,40000,100,0.1500441869099935,0.3,,
76,full,80000,300,1.040283997853597,0.6,,
77,full,20000,900,1.0640209992726644,0.3,,
78,full,10000,600,0.2983202934265136,0.2,,
79,full,90000,1000,5.580989980697632,0.4,,
80,randomized,60000,1000,1.6294924100240071,0.1,,
81,full,60000,600,1.723871405919393,0.1,,
82,full,30000,800,1.2673336823781332,0.6,,
83,full,10000,100,0.0207467555999755,0.1,,
84,full,90000,900,4.64690588315328,0.6,,
85,randomized,30000,700,2.0563674290974934,0.6,,
86,randomized,30000,100,0.077506685256958,0.2,,
87,randomized,70000,1000,4.230332358678182,0.3,,
88,full,60000,600,1.7103762785593668,0.4,,
89,full,10000,200,0.0602481524149576,0.3,,
90,full,40000,700,1.3677711486816406,0.4,,
91,full,80000,500,1.9114549477895104,0.1,,
92,randomized,30000,400,0.2202100118001302,0.1,,
93,full,90000,100,0.5863019307454427,0.3,,
94,full,20000,400,0.2856956322987874,0.4,,
95,full,20000,900,1.0422473589579264,0.1,,
96,full,70000,500,1.6003750642140706,0.3,,
97,randomized,70000,900,2.899389553070068,0.2,,
98,randomized,60000,100,0.4677507877349853,0.6,,
99,full,60000,900,2.901602602005005,0.2,,
100,full,90000,800,4.394593191146851,0.5,,
101,randomized,60000,300,0.544395637512207,0.2,,
102,randomized,30000,700,1.644837474822998,0.5,,
103,full,40000,500,0.8340959707895915,0.4,,
104,randomized,20000,300,0.2598257064819336,0.4,,
105,randomized,20000,1000,2.356628402074178,0.6,,
106,randomized,100000,200,1.6153143564860026,0.5,,
107,full,100000,700,3.9638065179189046,0.6,,
108,randomized,60000,500,2.674728584289551,0.6,,
109,randomized,60000,400,0.4342123985290527,0.1,,
110,randomized,10000,1000,0.3850474993387858,0.2,,
111,randomized,70000,800,1.4445625305175782,0.1,,
112,randomized,30000,100,0.1306651592254638,0.5,,
113,randomized,50000,800,2.255679130554199,0.3,,
114,full,40000,400,0.6308733463287354,0.1,,
