row,r,c,comp,time,n_over,n_iter,norm,driver,sing_values
row,50000,1000,0.1,5.6582697550455725,26,8,LU,gesdd,"[7369.311178743667, 7347.510291245427, 7345.360604151293, 7342.854177021494, 7336.617665627885, 7334.1356965004925, 7323.70989247819, 7317.998086611717, 7310.599986767158, 7305.255851763907, 7302.284995824448, 7298.485509091986, 7297.890626828543, 7293.532269989348, 7292.1993118794835, 7283.710003610032, 7280.4334593185185, 7278.327664825778, 7274.972973881274, 6453.291139680922, 0.71861369893715, 0.7170843790569099, 0.7169256096532821, 0.7165986513822454, 0.7158370460208113, 0.7152055134242712, 0.7148794466750413, 0.7142073785378565, 0.7138875459388624, 0.7130878387145082, 0.7129982109558445, 0.7127926967715381, 0.7125413743645032, 0.7119054532955067, 0.7114725781054547, 0.7112631288955458, 0.7105176215553073, 0.7103118231816862, 0.7098591518810078, 0.7093909673460282, 0.7089724542271361, 0.7084526986793912, 0.7079868448772755, 0.707759080147163, 0.7076376952064035, 0.7065897602561673, 0.7064663958199903, 0.706171490429197, 0.7055209294773594, 0.7051112826674667, 0.7049000438290334, 0.7045740067555365, 0.7041843150673399, 0.7039892207171933, 0.7035608823382746, 0.7028730669686597, 0.7026089723625351, 0.7023057936044989, 0.7021875249648519, 0.701883444976419, 0.7013917437126538, 0.7011119008441065, 0.7005966924485397, 0.7002544748309311, 0.6999353380890854, 0.6996290594032472, 0.6989112554258794, 0.6988551561964519, 0.698492743155272, 0.6982739116913795, 0.6979029661572904, 0.6975528173611142, 0.6971371508115769, 0.6967794900008766, 0.6961002007487848, 0.6958300775526716, 0.6954624600869704, 0.6950235021518588, 0.6949343819660623, 0.6943083246219719, 0.694198880784179, 0.693711287962823, 0.6935155296846952, 0.6931730722734449, 0.6923496802448066, 0.6919976746526333, 0.6918952579623849, 0.6910125837952384, 0.6907057659537258, 0.6902087534438711, 0.6899652241690178, 0.6893559692470365, 0.6887877547497565, 0.6885997349040545, 0.6882733602660265, 0.6879506454797776, 0.6878127742651723, 0.687541994338127, 0.6872489164408058, 0.6867746733264958]"
row,50000,1000,0.1,1.7997543970743817,8,2,LU,gesdd,"[7369.311178743668, 7347.510291245449, 7345.360604151275, 7342.854177021498, 7336.617665627886, 7334.135696500488, 7323.709892478193, 7317.998086611721, 7310.59998676716, 7305.25585176391, 7302.284995824444, 7298.485509091992, 7297.890626828549, 7293.53226998935, 7292.199311879489, 7283.710003610027, 7280.4334593185185, 7278.327664825783, 7274.972973881293, 6453.291139680926, 0.6939433243333601, 0.692491960150664, 0.6908962006668551, 0.6899548373101588, 0.6887546680205998, 0.6885973342843643, 0.6878387642874946, 0.6873616975178614, 0.686825286145931, 0.685701594132042, 0.6853100329324167, 0.6844643819936646, 0.6841376018229219, 0.683877603782926, 0.6833949384971898, 0.6830108411700423, 0.6822133284656597, 0.6818259019035167, 0.6814992600894153, 0.6803163447651456, 0.6793088151565552, 0.6789686135283104, 0.6788485470174889, 0.678296994320936, 0.6779486954106944, 0.6774113716535313, 0.6773368517167634, 0.6765648328082907, 0.6761033502031507, 0.6755532310489328, 0.6751730649362007, 0.674978853087685, 0.6740541626827885, 0.6734942300782653, 0.6733797142595128, 0.6731781562016046, 0.6730425032705578, 0.6719251302008808, 0.6714812039174455, 0.6711313643786233, 0.6706431505891428, 0.6705323858412383, 0.6693995757078417, 0.6692682727720081, 0.6686747404856466, 0.6681784569762248, 0.6677684589079461, 0.6671281602522712, 0.6667904861307381, 0.6661915167827266, 0.666076187777539, 0.6653725634960551, 0.6647420563054741, 0.6639694851904366, 0.6638864515659575, 0.6630176677457789, 0.6626310086383562, 0.6625553981518931, 0.6616665668918984, 0.6613888237632594, 0.6602359390611059, 0.65992244568876, 0.6596071502523513, 0.6593017306514073, 0.6586025649556019, 0.6584739925005081, 0.657881321094764, 0.6575519951849682, 0.6571227197861252, 0.6567274899654637, 0.6559837792852903, 0.6553932981766799, 0.6550425502817265, 0.6542192605221723, 0.6538230491768809, 0.653513971089031, 0.6533348959100482, 0.6517505844489065, 0.6514965706158122, 0.6511497870720347]"
row,50000,1000,0.1,2.191945473353068,26,2,LU,gesdd,"[7369.311178743678, 7347.510291245426, 7345.360604151301, 7342.854177021505, 7336.617665627893, 7334.135696500489, 7323.709892478199, 7317.998086611719, 7310.599986767162, 7305.255851763914, 7302.284995824446, 7298.485509091992, 7297.89062682855, 7293.532269989349, 7292.199311879487, 7283.710003610031, 7280.433459318517, 7278.327664825783, 7274.972973881295, 6453.291139680927, 0.6948912772068754, 0.6940637238361531, 0.6934391515172725, 0.6921555838619983, 0.6916265703543786, 0.6910642478357969, 0.6898411811174567, 0.6894849634223502, 0.6891543956687906, 0.6883425424396126, 0.6878659572220666, 0.6868825387902469, 0.6865115534269094, 0.686246957824595, 0.686066457542942, 0.6854102160191875, 0.6846292532180512, 0.6839006134174742, 0.6833593654822614, 0.6830031889743724, 0.6824273592441752, 0.681993049851023, 0.6819043044080764, 0.6813449060394837, 0.6807462543297241, 0.6805049666447837, 0.6800601572292602, 0.6794582116354756, 0.6788354629499808, 0.6781436783460837, 0.6773643534856342, 0.6773054235980445, 0.6769900777775104, 0.6765144279322777, 0.6763337194162515, 0.6759521594245991, 0.6756486979056191, 0.6751907329360234, 0.6749446633415431, 0.6741204335800953, 0.6731378983483554, 0.6724356907554551, 0.6721325588374663, 0.6720479100711968, 0.67160990120595, 0.6712992767156716, 0.6709384442877723, 0.670026053620554, 0.6698898703224504, 0.6695595846685305, 0.6689698989038365, 0.6682690869977832, 0.6680326228007927, 0.6677715749631691, 0.6675321529112859, 0.6666494884855252, 0.6663871476628288, 0.666316573223806, 0.6660233477410609, 0.6655045868231987, 0.6654409089010663, 0.6649359369710074, 0.6643806327987357, 0.6641247082113434, 0.6635572862210506, 0.6629616220061354, 0.6627195974458091, 0.6626109314780391, 0.6616593636986858, 0.6610658422900787, 0.6608003620950588, 0.659867011491809, 0.6592966555469387, 0.6587786892705046, 0.658692926883461, 0.6583884096207266, 0.6578146594332527, 0.6575180241834212, 0.656802569623498, 0.656736212129025]"
row,50000,1000,0.1,7.239371426900228,12,7,QR,gesdd,"[7369.311178743667, 7347.510291245431, 7345.360604151299, 7342.854177021493, 7336.617665627893, 7334.135696500488, 7323.709892478193, 7317.998086611719, 7310.5999867671635, 7305.255851763905, 7302.284995824441, 7298.4855090919855, 7297.8906268285455, 7293.532269989346, 7292.199311879485, 7283.710003610032, 7280.433459318521, 7278.327664825782, 7274.972973881292, 6453.291139680926, 0.7158394226573059, 0.714978562169656, 0.714433708453376, 0.7139282792749853, 0.7133940091999832, 0.7130900812597594, 0.7123238886807307, 0.711873400048804, 0.7113064119416528, 0.7108103548110002, 0.7104726403450153, 0.7099109687888485, 0.7093265299085117, 0.7086061073368037, 0.7083539221223589, 0.70788424698724, 0.7070622658458845, 0.7062891619851529, 0.706021953720743, 0.7057907522989675, 0.7051937725683778, 0.7049096589828796, 0.7047804255833012, 0.7042361205461642, 0.7034667831927899, 0.703427327623774, 0.7030766231383507, 0.7021733069047007, 0.7021213917897043, 0.7020014823783873, 0.7015775926528498, 0.7011186322907059, 0.700334446790622, 0.7001413266160289, 0.6996045266198858, 0.6993121137805974, 0.6991387633000188, 0.698807508003692, 0.6981482438067498, 0.6977241659089528, 0.6971424427179433, 0.6967694240114135, 0.6965287710152214, 0.6959489249633893, 0.695834128691272, 0.6953853857224636, 0.6952208035271376, 0.6943921788547871, 0.6939990818531614, 0.6934073440865601, 0.6933349492345503, 0.6926844117173724, 0.6924700415025568, 0.692333212511641, 0.6918820150408624, 0.6915813237957944, 0.6913097718570465, 0.6906124635744656, 0.6899407773420276, 0.6896855472738829, 0.689461326889545, 0.6890949018719076, 0.6885565071301974, 0.6881290034917933, 0.6879704742175999, 0.687552784206144, 0.6869432020063825, 0.6860333102369828, 0.6857165094656138, 0.6853574669362664, 0.6847111983921967, 0.6839078598836783, 0.6834946093043377, 0.6834524296199308, 0.6829145768679408, 0.6825754567964104, 0.6821737903796188, 0.681776380510758, 0.6815664271955024, 0.6811452900343673]"
row,50000,1000,0.1,2.385581127802531,4,2,QR,gesdd,"[7369.311178743652, 7347.510291245423, 7345.360604151296, 7342.854177021495, 7336.6176656278885, 7334.135696500489, 7323.7098924781985, 7317.998086611722, 7310.5999867671635, 7305.255851763911, 7302.284995824451, 7298.485509091989, 7297.890626828548, 7293.5322699893495, 7292.199311879485, 7283.710003610024, 7280.43345931852, 7278.327664825778, 7274.9729738812875, 6453.291139680921, 0.6931710232025563, 0.6922848088996124, 0.690496051398661, 0.6898632168494601, 0.6896145038001201, 0.6883034317437597, 0.687139260855884, 0.6863508170162762, 0.685454430109132, 0.6853627310553831, 0.6852453938305025, 0.6844703123612981, 0.6836180867946208, 0.6832236827587449, 0.6823819890035325, 0.682193352220952, 0.6818596430022397, 0.6811528288709043, 0.6800932708853774, 0.6798953259982827, 0.6796680115857657, 0.6790018360352335, 0.6787377816735752, 0.6782288856923274, 0.6778257063677223, 0.677107645762525, 0.6761632976244687, 0.6759756626155659, 0.6757370984723581, 0.6753023956061271, 0.6748159503686432, 0.6735572630534461, 0.673375403749589, 0.6732702945854344, 0.6725229341296047, 0.6723119263703023, 0.6719365355072151, 0.671127823266865, 0.6708298564680207, 0.670668600967834, 0.6704744893378174, 0.6700106397528868, 0.6685568312549781, 0.6682863072940992, 0.6678425826252656, 0.6675232409208128, 0.666946086968199, 0.6669014590172238, 0.6660581513882199, 0.6659706966944406, 0.6652844576866125, 0.6648957985107186, 0.6644390376463907, 0.6640110751765549, 0.663452642861978, 0.6629076249624117, 0.6622607718187364, 0.6618932616055453, 0.6611665261066049, 0.6610299718072662, 0.6602079312894563, 0.6600864530332703, 0.6596253419817402, 0.6589491145882371, 0.657811518632023, 0.657390008316171, 0.6567085482473785, 0.6563994251301944, 0.6561088367867652, 0.6555133012795594, 0.6548767516440168, 0.6535107643294971, 0.6525247226383174, 0.6515969417444468, 0.6513310812661746, 0.6508846457782905, 0.6501886342243134, 0.6490248548652175, 0.6486317839829147, 0.6480905655092047]"
row,50000,1000,0.1,1.7778021335601806,10,2,none,gesdd,"[7369.311178743669, 7347.51029124542, 7345.360604151298, 7342.854177021502, 7336.6176656278885, 7334.135696500485, 7323.70989247819, 7317.998086611714, 7310.599986767161, 7305.255851763905, 7302.284995824449, 7298.485509091988, 7297.890626828546, 7293.532269989347, 7292.19931187948, 7283.710003610029, 7280.43345931852, 7278.327664825782, 7274.972973881292, 6453.291139680927, 0.11540769319736661, 0.11346905170122738, 0.1130896017531279, 0.1125773480291086, 0.11219291254101754, 0.11114658583041315, 0.1102148866085027, 0.10975404607924812, 0.10904552153643887, 0.10788412415769348, 0.10714771936922374, 0.10700543778451713, 0.10590959632334307, 0.10563330302821454, 0.1049291981983489, 0.1036892480308653, 0.10362664275188267, 0.1029505041193296, 0.10282327007092863, 0.10227136604217375, 0.10112715422683129, 0.1008501710496975, 0.10032832908997011, 0.09955352053715953, 0.09896912760619592, 0.09847862596213369, 0.09793705883128004, 0.09767345193022083, 0.09694513089720928, 0.09657681912767689, 0.09623632582122428, 0.09582395469699995, 0.09470213756927087, 0.0943176683464714, 0.09417632591034655, 0.09379813007708271, 0.09357664505815758, 0.09290166819052827, 0.09219744014286939, 0.09188901096188987, 0.09084031800783338, 0.09066598555841732, 0.09023597106027213, 0.08945627014104879, 0.08916512286620532, 0.08823491788146874, 0.08742449703480404, 0.08713448366480388, 0.08659204231952533, 0.08635244489032777, 0.08606989572452092, 0.08570430104230889, 0.08538597293795872, 0.08496434951644344, 0.0843308112405894, 0.08329010226769253, 0.08279352438705631, 0.08229985971600702, 0.08216377239239764, 0.08185505219930095, 0.0814157149289374, 0.08054474819363762, 0.0802060762933862, 0.07988305438204091, 0.07957257604590466, 0.07919145993674635, 0.07808926595520244, 0.07781493459390679, 0.07753873460074674, 0.0771885187890764, 0.07672404195640319, 0.07626050517875482, 0.07537015102797513, 0.07502085173363594, 0.0748891623583465, 0.07418781662044448, 0.07294295546517186, 0.072253400548618, 0.07190350966172, 0.07161327086818642]"
row,50000,1000,0.1,5.421705198287964,12,9,LU,gesdd,"[7369.311178743669, 7347.510291245431, 7345.3606041513, 7342.854177021498, 7336.6176656278885, 7334.135696500495, 7323.70989247819, 7317.998086611713, 7310.599986767167, 7305.255851763913, 7302.284995824449, 7298.485509091987, 7297.8906268285455, 7293.532269989351, 7292.199311879486, 7283.710003610031, 7280.433459318522, 7278.32766482578, 7274.972973881289, 6453.291139680924, 0.7192326464932992, 0.7184549709248798, 0.7178562122999804, 0.7176267173481191, 0.7172678574990632, 0.7168543200296833, 0.7160249233624673, 0.7158286573535441, 0.7152859734623586, 0.7146976505292744, 0.7144026372702599, 0.7140262962127509, 0.7130824909583635, 0.7128127110832635, 0.7120118395389073, 0.7116633153260506, 0.7114953361623363, 0.7104625477105352, 0.7104519470188001, 0.7099885786705881, 0.7096047840078036, 0.7088889160434751, 0.7086563866146197, 0.7082355556157361, 0.7079964143901923, 0.7078061979107068, 0.7076169393540681, 0.7071986171634387, 0.7065540672480044, 0.706228401882949, 0.7060091078914136, 0.7058168189627956, 0.704551646427782, 0.7044596049935625, 0.7043453784412008, 0.7038496858281255, 0.7033215477962966, 0.7029041354519929, 0.7026591787299542, 0.7024922037248744, 0.7016974625166752, 0.7015032205675871, 0.7009560681105494, 0.7008410067692974, 0.7004584183182156, 0.700154144241331, 0.6999840128744267, 0.6991167503522725, 0.6985282088949761, 0.6983181476134452, 0.6980027956883795, 0.6978330250869444, 0.6972984019819255, 0.6970844267406202, 0.6966250207183611, 0.6962995761546318, 0.6960420141565389, 0.6952111130321034, 0.6949023478352097, 0.6947228918467993, 0.6945303013924435, 0.6941307248604687, 0.6938702890354975, 0.6937578751456276, 0.6931935257481232, 0.6928944128195538, 0.6921950002669454, 0.691163750607128, 0.690701440309771, 0.6904115540011188, 0.6899859054757138, 0.6894993032802675, 0.6889800333589441, 0.6884203885165519, 0.6882964316031446, 0.6875634778783025, 0.6873484147158987, 0.687147001713801, 0.6867198388158018, 0.6863774983337713]"
row,50000,1000,0.1,1.958926248550415,16,2,LU,gesdd,"[7369.311178743669, 7347.510291245428, 7345.360604151299, 7342.854177021503, 7336.61766562789, 7334.135696500488, 7323.709892478194, 7317.998086611715, 7310.599986767158, 7305.255851763912, 7302.2849958244515, 7298.48550909199, 7297.890626828547, 7293.53226998935, 7292.199311879485, 7283.710003610029, 7280.433459318521, 7278.327664825784, 7274.972973881291, 6453.291139680928, 0.6943713626179883, 0.69369571693451, 0.6919633494383223, 0.6912324597228734, 0.6899032269262636, 0.6897723213965476, 0.6891142459875716, 0.6880607865924694, 0.6876378673378549, 0.686770610337589, 0.6864557264568768, 0.6856119866066738, 0.6849124394408452, 0.6846920142388367, 0.6841913516874497, 0.6839632490478385, 0.6831665188953883, 0.6826112454493869, 0.6821296234549477, 0.6816897628342541, 0.6810945267955855, 0.6805800050712062, 0.6800246558415675, 0.6796511904422499, 0.679335866914909, 0.6785802052625706, 0.6781796280458744, 0.6779061023006782, 0.6777096833402524, 0.6771038348059109, 0.6765989622155173, 0.676323145569123, 0.6755301846382636, 0.6753570818695681, 0.6747803022565588, 0.6741530210526302, 0.6737744991986029, 0.6736729127298892, 0.6732628989291145, 0.6728585439458163, 0.6722648827833934, 0.6720521386978774, 0.6715229322680585, 0.6708846407601545, 0.6707337249443739, 0.6701092590943305, 0.6699175871500541, 0.6697767004703409, 0.6691524744441092, 0.6683517577991736, 0.6679405454446543, 0.6677938631707214, 0.6671445396867753, 0.6670362111259845, 0.666621170931007, 0.6663062183255432, 0.6651126795100019, 0.6645521505750193, 0.6638882115884582, 0.6636631538464051, 0.6631805999978256, 0.6627944565773447, 0.6622633831195259, 0.662011132881766, 0.6613798353866933, 0.6612373024142055, 0.6608339512244477, 0.6603876490925875, 0.6598722762955184, 0.6592366462978364, 0.6588780902324404, 0.6583792102100048, 0.6569963784024431, 0.6569238632777702, 0.6563042561267176, 0.6558793866693742, 0.6556984142793747, 0.6550969972377783, 0.6547064737435616, 0.6542097814545217]"
row,50000,1000,0.1,3.6377607186635337,14,3,QR,gesdd,"[7369.311178743666, 7347.510291245425, 7345.360604151294, 7342.854177021496, 7336.617665627881, 7334.135696500506, 7323.709892478189, 7317.998086611721, 7310.599986767159, 7305.255851763909, 7302.284995824452, 7298.48550909199, 7297.890626828549, 7293.532269989351, 7292.199311879486, 7283.710003610025, 7280.433459318526, 7278.327664825784, 7274.972973881294, 6453.291139680927, 0.7015838322281412, 0.6999938325711398, 0.6993561194106908, 0.698877198257554, 0.6978423330475519, 0.6970392089921018, 0.696760034718449, 0.6961651642875561, 0.6947344785183329, 0.6941207018216079, 0.6936022228257307, 0.6932749856934157, 0.6929265861525422, 0.6917586331696532, 0.691668948407062, 0.6913213495795176, 0.6911297734829376, 0.6905573945613154, 0.6900300425773492, 0.6892546640534467, 0.6889599679087173, 0.6882541674586481, 0.6879574552990557, 0.6873684205657479, 0.686925015466323, 0.6866394737439191, 0.6864032922241794, 0.685424149634331, 0.6851870914445627, 0.6849800667656698, 0.6846834963627259, 0.6841451010356295, 0.683790247355966, 0.6833616282193578, 0.6828035101023212, 0.6822225025678805, 0.681861088205279, 0.6810996821723914, 0.6810170963301031, 0.6805216359854493, 0.6795479716605387, 0.6792836586454453, 0.6787569655326389, 0.6782499100187226, 0.6780054588756718, 0.6777137958565796, 0.6770078981642786, 0.6767396057412208, 0.6760658438354429, 0.6756200324673935, 0.6751739282821567, 0.6748769113587624, 0.674431145243885, 0.6736399992748758, 0.6733242847760535, 0.6726990216415286, 0.6723190337746862, 0.6720883153652245, 0.6716297982850196, 0.6711730038042096, 0.6708041684851613, 0.6703098905522118, 0.6695708450840004, 0.6695431077554849, 0.6688650908627409, 0.668377451505224, 0.6680084664342258, 0.6673676739092862, 0.666948938518114, 0.6663129581365612, 0.666025348866565, 0.665766117810674, 0.6648032975331227, 0.6641230012461713, 0.663967454409244, 0.6629101700320074, 0.6625871505663384, 0.6619268619991082, 0.6617491540466767, 0.6610683024251449]"
row,50000,1000,0.1,1.8023902257283528,12,1,QR,gesdd,"[7369.311178743673, 7347.510291245432, 7345.3606041512985, 7342.854177021503, 7336.617665627892, 7334.1356965004825, 7323.709892478195, 7317.998086611716, 7310.599986767169, 7305.255851763909, 7302.284995824448, 7298.485509091988, 7297.89062682855, 7293.53226998935, 7292.199311879486, 7283.710003610026, 7280.433459318525, 7278.327664825779, 7274.972973881289, 6453.291139680925, 0.6852737233430716, 0.6834964630323531, 0.6827966765742143, 0.6823117781376492, 0.6814554536132091, 0.6809740901744581, 0.679933655212764, 0.6786894127463459, 0.6783523520010168, 0.6780230413468793, 0.6771789804727694, 0.676551424961844, 0.6763879936828278, 0.6757406139494426, 0.6753972761497409, 0.674560544850334, 0.6732339409275173, 0.672875356551356, 0.6724861220436643, 0.6723616560627967, 0.6712266438319905, 0.6707931166050106, 0.6702140736969531, 0.6699731951890957, 0.6694539262466013, 0.6692385986872497, 0.6686663917326715, 0.6680725523322661, 0.6679666046085156, 0.6671108093549113, 0.66699522149645, 0.6661845535044004, 0.6658879045113821, 0.6651993342479181, 0.6650952093224906, 0.6649427692117402, 0.6648799173672568, 0.6642430327929231, 0.6640448164163328, 0.6631992465206745, 0.662236589808033, 0.6619217880211801, 0.6611497580491781, 0.6607259196485467, 0.6603791536265102, 0.6598460233796245, 0.6591525690920869, 0.6585245184162324, 0.657874755934167, 0.6576076871285477, 0.6571600039678744, 0.6567240065714554, 0.6562290968502773, 0.6555267621967301, 0.6551692758593408, 0.654388175816565, 0.6543029593950742, 0.6540783324078844, 0.6537255230390939, 0.6529510446289098, 0.6524546937705316, 0.6521050041315571, 0.6517015108392841, 0.6511687826796546, 0.6509650623100048, 0.6503394630413731, 0.650022350516704, 0.6491150652710291, 0.648606724171686, 0.6484354017852687, 0.6477023030431446, 0.6469626437114572, 0.6463714648122221, 0.6461263571455678, 0.6458450980450746, 0.645086640215922, 0.6445685537610527, 0.6440635620216604, 0.6438084025188866, 0.6428780925790412]"
