row,solver,r,c,time,comp,density,sing_values
row,randomized,60000,2000,0.1509757280349731,30,0.0001,"[2.51581832801212, 2.499387080722634, 2.496680781476343, 2.4195899973725017, 2.401297235291807, 2.387939533893437, 2.3838568376572655, 2.371746319910901, 2.3623934075493724, 2.3560964429648648, 2.343538220917728, 2.326304998652543, 2.3138856268907437, 2.2992949398963387, 2.2892252812479876, 2.282092848865891, 2.269080622974592, 2.2570685221461053, 2.2545121421207175, 2.2345410691187086, 2.2246112777742826, 2.22201734276019, 2.216963247970655, 2.2127350956497405, 2.2035535041644616, 2.19317934895285, 2.1838233069586974, 2.1748917570583144, 2.1683760505619145, 2.156331925489947]"
row,arpack,60000,2000,0.4333125352859497,80,0.0001,"[2.5402125090253906, 2.5322234093030356, 2.522636299342379, 2.453492454237089, 2.4524760248815736, 2.4454592340621133, 2.429319843032303, 2.4289336402161252, 2.4182266250073665, 2.4172905973265375, 2.3896582041728265, 2.3894666420668753, 2.37400268325993, 2.3721176581408665, 2.368224765002832, 2.364325336886591, 2.3609829401636047, 2.343170380688517, 2.3299728615611026, 2.326850439302201, 2.3185640695235987, 2.317282000555299, 2.3126507686776625, 2.3107216858376054, 2.3052651562157154, 2.296607657584347, 2.283055442973064, 2.2828066406030767, 2.2813270740713674, 2.279962449856893, 2.2695947229217377, 2.2611400360981553, 2.2538622260925107, 2.2537287547224016, 2.2514420463750744, 2.245821295084569, 2.245802565137052, 2.243401944244496, 2.227557180748852, 2.223557439949816, 2.2228282492098828, 2.2213877033115876, 2.221384721672514, 2.217612247878974, 2.2175491549766098, 2.2100219231218587, 2.2067430536759867, 2.1956248166199326, 2.1939056998871025, 2.1923187552230696, 2.1908537319904733, 2.18729434609422, 2.178052044618558, 2.171711085948812, 2.1707173482768605, 2.1693108148288864, 2.1677140183034065, 2.1660660964301934, 2.1594713587302117, 2.156885338723232, 2.1563190483364214, 2.153376685806641, 2.1473714253570426, 2.1425955483832344, 2.139900840850282, 2.139738196179341, 2.1345492187202564, 2.1335851765664877, 2.1316703719495527, 2.1305857835047424, 2.1303681441789455, 2.122212217017173, 2.1196340653853336, 2.1192533434503065, 2.1184804571505067, 2.1153784826574014, 2.1093796193391614, 2.108390173220998, 2.1078439841078658, 2.105150371248054]"
row,randomized,60000,4000,0.276308274269104,10,0.01,"[78.86875032583237, 17.090149733360597, 17.039546663146606, 16.972230362704806, 16.956649249212003, 16.941968079252202, 16.933485467229325, 16.904266830146188, 16.885184950616637, 16.873548925908327]"
row,arpack,40000,2000,0.5673728466033936,20,0.01,"[46.2741213300643, 14.269532769267581, 14.249126936876504, 14.223988705559673, 14.215894475941777, 14.210689924809525, 14.18682163127195, 14.180641659027486, 14.17426543801447, 14.159088205139366, 14.149982571952947, 14.148191156900506, 14.1388330510141, 14.131707089739475, 14.129547346601559, 14.115157442397777, 14.111845845912345, 14.09792393536495, 14.090981800798783, 14.08666540779912]"
row,arpack,60000,2000,0.9723201274871828,100,0.0005,"[4.564568295719583, 4.493727368491432, 4.408320158557529, 4.387462900526414, 4.302591198430863, 4.295786167769763, 4.291801945763347, 4.287021092361155, 4.275358437035591, 4.263286500203528, 4.254654002871449, 4.239525052035028, 4.235217344246267, 4.217108406591171, 4.205988342038993, 4.199558865723511, 4.196174878894369, 4.192981265113011, 4.187498798050256, 4.183288907605672, 4.178091116181162, 4.176981374689563, 4.164939218766635, 4.14866574012251, 4.1464038767383675, 4.144474320804476, 4.13918462205647, 4.132200812962061, 4.12912241036633, 4.12447362668243, 4.121007809811261, 4.115845132525081, 4.111864973776364, 4.108829908211418, 4.1079342563450245, 4.105593623799081, 4.102614922676486, 4.096994385726819, 4.093080420977793, 4.089502600678444, 4.0874946258848786, 4.083557997944261, 4.080447791097767, 4.0778082735165215, 4.07402518464127, 4.072903331431237, 4.067572988691213, 4.063951819753733, 4.061134692425861, 4.058878432309497, 4.057078880422312, 4.056016251580815, 4.053354584674325, 4.0488519184878475, 4.0483326179094465, 4.046003516885235, 4.040485134050857, 4.038325804046805, 4.0370427872706705, 4.0301021721322945, 4.029423092474048, 4.026565110489883, 4.023568149638854, 4.022260060612843, 4.0212499649746345, 4.0158869417637195, 4.013958323310519, 4.0120767849205325, 4.007431357068866, 4.006200961090329, 4.005016270329917, 4.002424577052466, 4.000359431030881, 3.9961319912960063, 3.9946888288407285, 3.9913643421398826, 3.9891682977487974, 3.988103935724105, 3.9864855312701613, 3.9845039003020526, 3.980867507358014, 3.9778220989270645, 3.976183761681681, 3.9748819115678637, 3.9726818529533796, 3.9696608040377024, 3.9671630131968976, 3.9655023128964197, 3.9638904518943656, 3.9625849737816585, 3.959128144466704, 3.9572834993500274, 3.956123764890556, 3.953720004574566, 3.9517688495159766, 3.950000734971053, 3.946964709549561, 3.945210075733802, 3.943515698296248, 3.94034494254545]"
row,randomized,50000,4000,0.4819341897964477,70,0.001,"[8.358709965778587, 5.566462953338386, 5.489930846900145, 5.454825769862233, 5.416278368491062, 5.3990699166567655, 5.38377912779144, 5.379167182829405, 5.37085955476188, 5.36501311202691, 5.354207012561326, 5.349955780558433, 5.340080621556992, 5.321948318611163, 5.3164681544065, 5.3123531709667295, 5.30841287034828, 5.298582493746821, 5.295620735788574, 5.281469448453069, 5.27678668216039, 5.2704717394553615, 5.270139179396695, 5.264811485695921, 5.2608973897191555, 5.258381379150278, 5.245407752391897, 5.240558833867396, 5.235886227727952, 5.230992520471744, 5.2262608735268055, 5.221971148937078, 5.22025431138549, 5.217009195977101, 5.2145745946265825, 5.2102800711061565, 5.206169834206113, 5.200948428926607, 5.197396251330096, 5.192999545073817, 5.18341520836409, 5.181497883340442, 5.176782994573316, 5.1723266832400805, 5.170376534942411, 5.168628599177318, 5.1620881310979945, 5.157841155866096, 5.154307146671036, 5.148143599196168, 5.145933222136158, 5.141121804993808, 5.1357615756656845, 5.130570137626661, 5.129604360130216, 5.1247071953614824, 5.123146921806282, 5.117044999983519, 5.111548284419157, 5.107445823520309, 5.103910848155565, 5.09903993659436, 5.095853985900262, 5.0899056900682895, 5.087900854284023, 5.080703923410915, 5.0749653949254645, 5.071111675668524, 5.066077531073199, 5.062714236555452]"
row,arpack,40000,2000,0.2187823057174682,70,0.0001,"[2.2434023358343524, 2.2258541866738786, 2.209853593125391, 2.1909129984082734, 2.1825634644601206, 2.1319137009009745, 2.125386767905291, 2.124602622273447, 2.117797985559904, 2.1096472495048713, 2.1096197166989863, 2.0948873549349156, 2.0843787563414002, 2.082216707695754, 2.077897477996942, 2.053347221114133, 2.051073212147369, 2.0504108523211566, 2.0464901302258665, 2.0382216263187454, 2.034910863666444, 2.027777256974403, 2.026790515519566, 2.013286022978089, 1.9952332920234244, 1.9828183195829279, 1.9768421774487552, 1.9726732569680654, 1.9683123192377123, 1.9570399072460938, 1.9352522770210752, 1.9328663284634948, 1.9315893129514863, 1.9305909621568742, 1.9302531346428613, 1.9292572668195906, 1.9283351415286147, 1.9234226097317602, 1.9230712267336245, 1.9169767635556965, 1.915888522692366, 1.9024161863477826, 1.9018064340165384, 1.8995911533241956, 1.896432058805893, 1.896028092231886, 1.8954602581858002, 1.8914373042627672, 1.8908731848837745, 1.8897933083134728, 1.8897066618440967, 1.8843085467080631, 1.883773919832628, 1.88046803492769, 1.8787273326662244, 1.8753066378641639, 1.8634399138749633, 1.8606658057192136, 1.85982214132714, 1.8585497786697265, 1.8551972706058195, 1.84941474553889, 1.8452011112407694, 1.844860319651718, 1.8414861315918603, 1.8362275288358085, 1.833845366991374, 1.8324822695982301, 1.8286890486818455, 1.8235145092641751]"
row,arpack,60000,4000,0.2800914764404297,50,0.0001,"[2.765065249427173, 2.7252736796057104, 2.657364578095439, 2.6411191242252756, 2.639794267482081, 2.6341819347898996, 2.629548266546256, 2.607424928669051, 2.5821755588338635, 2.547688271508154, 2.532206748349246, 2.5062295340914593, 2.5001949861302255, 2.4934273573295935, 2.4923646360978746, 2.48286247754461, 2.458799162028896, 2.455681803530578, 2.4528353080179928, 2.4502230185278044, 2.4497254071565875, 2.444324170468643, 2.4152947948132275, 2.392278230325453, 2.391022256883329, 2.388849625140389, 2.3808596610293553, 2.380401133854448, 2.3798181009663604, 2.3787654113926746, 2.3752214725581564, 2.374832985821073, 2.367324771832148, 2.3627543869501832, 2.3486503807488464, 2.3450460974795027, 2.3381940892222777, 2.3349472499282946, 2.334104385087014, 2.3244770821588703, 2.3189742510494553, 2.3188619479992236, 2.317963672645405, 2.308466901331926, 2.307460632508864, 2.3044398379475597, 2.3012041336015514, 2.294352870233456, 2.2935284402282146, 2.2906506721716613]"
row,arpack,40000,2000,0.102596640586853,10,0.001,"[6.0285464998029346, 5.1229942559452715, 5.11683171602767, 5.09056630418919, 5.059697830490185, 4.990734937275463, 4.967802706480775, 4.955001480353062, 4.944401049452716, 4.9315430921877095]"
row,randomized,50000,2000,0.1142069101333618,10,0.01,"[51.71944554770219, 14.936866342853225, 14.890954925314153, 14.87097572290411, 14.867033147016581, 14.801785106127088, 14.79622149325105, 14.766523972722762, 14.753205890943288, 14.717449352404739]"
