solver,r,c,comp,time,sing_values
randomized,70000,400,14,0.970176386833191,"[8200.45565213154, 8192.548416846472, 8191.824299456945, 8176.064146692059, 8171.40377828549, 8166.100304889332, 8161.222255595422, 7629.326082207196, 0.7990463708151396, 0.7958126748116973, 0.7948916665609133, 0.793545840483945, 0.7923218727830859, 0.7907717820909874]"
full,30000,300,11,0.5588078260421753,"[5500.3878851987065, 5481.134974697204, 5473.435163215385, 5465.929456408415, 5456.713415888507, 4991.3744581576875, 0.5452411114436598, 0.544145723997291, 0.5433491963080082, 0.5428561020184385, 0.5423105974829133]"
randomized,30000,900,6,0.799533200263977,"[5854.372647723756, 5845.270407469258, 5835.113183957312, 5833.951792253764, 5830.382008041534, 5818.393241493416]"
full,100000,200,10,1.5282878875732422,"[9520.870530371243, 9514.966097632707, 9501.635377462411, 9116.746358934242, 0.94981850870867, 0.948588848908217, 0.9485287071317104, 0.9476751117960921, 0.9464407683329458, 0.9462325979513427]"
randomized,10000,600,9,0.1949000120162964,"[3581.688379953808, 3571.091920669364, 3565.8605905052746, 3559.355329898017, 3549.894997467506, 3549.086196373593, 3543.6043624692643, 3535.499518482371, 3529.1576688228624]"
full,40000,800,17,3.637895941734314,"[6575.1547561950265, 6563.35002585502, 6559.761904905747, 6549.1242879699475, 6548.224578388229, 6545.789333878245, 6534.938236797576, 6529.958537504508, 6527.153178564517, 6521.687382591686, 6517.188907531448, 6516.305355880052, 6513.3959535581, 6509.912762477392, 6502.89220306522, 5771.013119273137, 0.6502140401623991]"
randomized,90000,200,20,0.8769869804382324,"[9053.65688987139, 9041.312718657555, 9033.67469185143, 8641.08437316965, 0.8887458837299608, 0.886787114574172, 0.8851109627317996, 0.8848170907205515, 0.8840137104872688, 0.8832269092386635, 0.8826204705810815, 0.8819468172497616, 0.8810304310133938, 0.8794636556548072, 0.8786060919214881, 0.8771715637415209, 0.8764796059802029, 0.8748563912587806, 0.8745264134148387, 0.8735705822257441]"
randomized,90000,900,10,2.6843076229095457,"[9518.013022238347, 9509.187704412285, 9503.81091100228, 9494.286403637756, 9491.714809470861, 9488.09924502485, 9481.395936016406, 9474.757123257265, 9472.788476008689, 9469.144536636883]"
full,40000,800,9,3.610495686531067,"[6575.1547561950265, 6563.35002585502, 6559.761904905747, 6549.1242879699475, 6548.224578388229, 6545.789333878245, 6534.938236797576, 6529.958537504508, 6527.153178564517]"
full,10000,500,14,0.3744569301605224,"[3528.717212800915, 3521.551179298086, 3505.299495122637, 3503.1753912950385, 3498.208892237978, 3490.6992371351753, 3488.7934357179574, 3477.9152025300887, 3475.103008985956, 2917.9647722969044, 0.34598472969313054, 0.34573662381909886, 0.3454044017466354, 0.34460026136314575]"
randomized,60000,800,5,1.286057448387146,"[7872.603193305526, 7864.966195564387, 7855.356748182692, 7848.680299228899, 7846.552653564722]"
randomized,10000,400,16,0.1557817697525024,"[3446.430236906099, 3440.3076498464825, 3431.6131569399067, 3430.080826683979, 3420.1773008702776, 3412.141115609922, 3409.9176146759446, 2914.883126838817, 0.33321298907661484, 0.332581006041651, 0.33081226974854305, 0.3299234275345252, 0.3295595872509563, 0.3288949202907546, 0.3276743392578035, 0.3273401313594017]"
full,50000,500,14,2.1409550428390505,"[7089.760396376955, 7083.308992633254, 7071.190092257084, 7063.217581693532, 7053.122170233787, 7051.456810919271, 7045.779093707963, 7044.6644702824, 7041.449249015904, 6457.086322944698, 0.7033665551687375, 0.7026936067202179, 0.7025295631462541, 0.7020178895341529]"
randomized,30000,600,12,0.5841784954071045,"[5694.958472211827, 5678.907793510769, 5675.290214976575, 5673.14709849371, 5665.674108841464, 5657.5349216525065, 5655.944536198057, 5642.687261088103, 5642.342170607817, 5638.5856220206715, 5634.90158914153, 4982.004226355553]"
full,30000,100,8,0.1884809970855712,"[5272.332492355377, 5019.635962507879, 0.5264496582982748, 0.5255044742324867, 0.5245677586573254, 0.5238907001606768, 0.5223207111139954, 0.5214507007724951]"
full,50000,400,19,1.561065173149109,"[7023.240887143885, 7011.783543380218, 7006.778747814401, 7002.021523074146, 6992.814576475418, 6990.696883882021, 6984.954079152233, 6449.513617680084, 0.6971882159055174, 0.696719475129233, 0.6962059247524175, 0.6954921848281451, 0.694923426309726, 0.6947276138886824, 0.6945189088810368, 0.6941571385907409, 0.6937392348893583, 0.6933134617531478, 0.692338789802684]"
randomized,60000,300,9,0.6457985162734985,"[7565.795770325885, 7557.447410026403, 7539.650496459417, 7529.222996840271, 7525.168692351192, 7053.4433139103685, 0.732606553812581, 0.7309651606272585, 0.7307843081078959]"
randomized,50000,500,13,0.981385850906372,"[7089.760396376957, 7083.308992633251, 7071.190092257073, 7063.217581693521, 7053.122170233779, 7051.456810919273, 7045.779093707971, 7044.664470282399, 7041.449249015899, 6457.086322944701, 0.6841913955233845, 0.6822854149914422, 0.6816786034506004]"
randomized,80000,100,6,0.3201821088790894,"[8442.64248098894, 8188.778917063273, 0.8315716004380881, 0.8299451935389884, 0.8288779559615873, 0.8272450858079893]"
full,40000,600,20,2.239929175376892,"[6470.037142115213, 6459.687434836076, 6456.657269956012, 6453.463913215254, 6443.1303277171, 6440.447445058312, 6433.696161145762, 6424.051754352587, 6420.512593583753, 6409.648312362237, 6406.162590827558, 5749.809023916521, 0.6400381888122061, 0.6393538632077773, 0.6389981503543598, 0.6384904188377484, 0.6384837787337461, 0.637967658208567, 0.6377097540255053, 0.6374569648958934]"
randomized,40000,1000,14,1.2503695249557496,"[6688.669937843148, 6674.456567001406, 6670.6527989200795, 6662.381335086673, 6654.180007955973, 6648.897619745929, 6646.27625063811, 6638.783903040475, 6631.785406110487, 6628.896627511363, 6626.512663515366, 6615.622703497889, 6612.0241532036825, 6610.017654456486]"
randomized,10000,500,15,0.2041084766387939,"[3528.717212800914, 3521.551179298083, 3505.2994951226387, 3503.1753912950326, 3498.208892237979, 3490.6992371351735, 3488.7934357179565, 3477.9152025300796, 3475.103008985954, 2917.964772296903, 0.33802843662172527, 0.3366809868651306, 0.33638037091699785, 0.336018684249862, 0.33455255325312067]"
randomized,40000,400,5,0.4561463594436645,"[6338.195755142777, 6332.098212858207, 6326.645100166405, 6313.555817819613, 6310.4009493657595]"
full,90000,700,8,6.902197265625,"[9426.68338268838, 9411.025695294604, 9402.509238513898, 9396.685111739047, 9390.20476466486, 9386.519165439338, 9381.363128077412, 9375.671068339709]"
randomized,20000,800,5,0.4209726572036743,"[4884.200334239248, 4876.064961132544, 4865.066445888638, 4864.912001462199, 4860.614860959815]"
randomized,10000,700,20,0.2833665370941162,"[3649.9823830637138, 3627.4541202032506, 3621.1148623796853, 3616.482176239413, 3609.5988343640915, 3607.4160665665045, 3599.333640835297, 3598.067570707698, 3593.545242744052, 3587.773949234069, 3582.21266503824, 3574.7342421399694, 3570.4190096748302, 2904.8808816672145, 0.3487300028025556, 0.3474217383653817, 0.3462551154006332, 0.34556096712728457, 0.3451081969928913, 0.34435360035702106]"
randomized,50000,1000,1,1.20498468875885,[7355.8203089196195]
