solver,r,c,comp,time,sing_values
full,30000,100,8,0.0714973926544189,"[5272.332492355383, 5019.635962507878, 0.5264496582982633, 0.5255044742324884, 0.5245677586573131, 0.5238907001607062, 0.5223207111139974, 0.5214507007724715]"
randomized,80000,100,6,0.211817979812622,"[8442.642480988945, 8188.778917063275, 0.8315716004381112, 0.8299451935390079, 0.8288779559615956, 0.8272450858080181]"
full,40000,600,20,1.084148097038269,"[6470.037142115205, 6459.687434836086, 6456.657269956011, 6453.463913215236, 6443.1303277170955, 6440.4474450582975, 6433.696161145759, 6424.051754352581, 6420.512593583746, 6409.648312362226, 6406.162590827554, 5749.809023916516, 0.6400381888122127, 0.6393538632078531, 0.638998150354382, 0.6384904188377651, 0.6384837787337165, 0.6379676582085839, 0.6377097540254976, 0.6374569648958882]"
randomized,40000,1000,14,0.5873093605041504,"[6688.66993784315, 6674.456567001402, 6670.65279892008, 6662.381335086671, 6654.180007955975, 6648.897619745929, 6646.276250638109, 6638.783903040468, 6631.785406110484, 6628.896627511356, 6626.512663515359, 6615.622703497882, 6612.024153203683, 6610.017654456479]"
full,90000,700,8,3.459533357620239,"[9426.683382688381, 9411.025695294613, 9402.509238513901, 9396.685111739034, 9390.204764664872, 9386.519165439324, 9381.363128077412, 9375.671068339709]"
randomized,10000,700,20,0.1244582414627075,"[3649.982383063719, 3627.45412020325, 3621.114862379674, 3616.4821762394154, 3609.598834364096, 3607.4160665665004, 3599.3336408352957, 3598.0675707076957, 3593.5452427440487, 3587.7739492340625, 3582.2126650382406, 3574.734242139958, 3570.419009674829, 2904.880881667219, 0.3487300028025763, 0.34742173836534945, 0.3462551154006197, 0.34556096712733037, 0.3451081969928857, 0.3443536003570619]"
randomized,50000,1000,1,0.6476711750030517,[7355.820308919624]
full,100000,600,14,3.2741473436355597,"[9826.661133805515, 9809.78720729009, 9803.832428840133, 9795.585802411482, 9786.859771716694, 9784.091808266869, 9781.01570687551, 9778.199485272524, 9773.59860647069, 9770.625189461773, 9767.313810042426, 9090.860429464103, 0.9763469190152342, 0.9762063054544892]"
full,100000,900,4,5.348145508766175,"[9995.306715981125, 9986.826983709525, 9970.508227589971, 9967.018548754237]"
full,80000,800,4,3.78716049194336,"[8968.282350418214, 8963.795430771605, 8952.27420974341, 8946.788686512167]"
full,30000,900,18,1.432308554649353,"[5855.914184098578, 5848.365378601136, 5840.420789495555, 5834.736472871688, 5831.337007363835, 5821.602493393697, 5816.487835875595, 5814.219344792205, 5811.900891798752, 5809.855132380571, 5802.9074362688125, 5797.676443299236, 5796.1793399098715, 5790.808658649885, 5785.707842331929, 5780.85229442433, 5778.063746231504, 4980.557248861175]"
full,80000,700,4,2.9712883949279787,"[8929.394155534508, 8914.937893667404, 8900.592517848394, 8898.425644023328]"
full,90000,700,1,3.452084517478943,[9426.683382688381]
randomized,100000,700,16,1.1513616561889648,"[9891.363070341367, 9879.409370193389, 9867.58220365232, 9862.128432232443, 9856.584389240155, 9852.458877433734, 9847.750017350221, 9841.38196244917, 9834.920068015359, 9828.243378806043, 9824.512374156333, 9820.53035391553, 9816.903742746914, 9124.382840227625, 0.9530284655885058, 0.9518335066942094]"
randomized,30000,1000,6,0.4029816150665283,"[5901.49959624852, 5891.259215555807, 5886.0960787693975, 5878.825633140624, 5867.385822821999, 5866.503132601973]"
full,30000,200,10,0.1785344362258911,"[5397.578042955284, 5393.951531217719, 5371.863598120232, 5016.602031921609, 0.5365983977987091, 0.5363187550923295, 0.5350013489294106, 0.5348818556890172, 0.534195672242567, 0.5338543646342685]"
randomized,70000,400,6,0.4036120653152465,"[8200.455652131557, 8192.548416846492, 8191.824299456948, 8176.064146692065, 8171.403778285483, 8166.100304889311]"
full,20000,1000,1,1.226491403579712,[4982.466033149151]
randomized,60000,200,6,0.2392838954925537,"[7462.155953247913, 7456.911345664494, 7446.159408098181, 7057.5525946590105, 0.7307608038034237, 0.7260854140081994]"
full,20000,800,12,0.8420693635940552,"[4885.549091104875, 4876.06631919358, 4869.117620584574, 4865.023245812144, 4860.671173806547, 4854.1241449598765, 4847.3224114541645, 4842.89084775714, 4836.749213328388, 4832.408752864033, 4829.136962583727, 4826.882776234926]"
full,80000,800,12,3.820701622962952,"[8968.282350418214, 8963.795430771605, 8952.27420974341, 8946.788686512167, 8943.400312013808, 8935.944982017545, 8932.696023273658, 8924.146541956548, 8922.803166139129, 8919.87179292785, 8916.827897680909, 8908.914033187712]"
full,20000,900,18,1.011832308769226,"[4941.214944674226, 4927.5616942207635, 4922.236671774441, 4917.950959660199, 4909.128859210945, 4905.950906514547, 4904.149257763525, 4893.334367274963, 4886.709321985075, 4882.932630689248, 4880.3673160484595, 4875.84578358508, 4871.298078238518, 4867.418577116549, 4865.707964502696, 4861.248296804279, 4856.430420254021, 4068.351397157365]"
randomized,80000,700,4,0.7897450685501098,"[8929.39415553448, 8914.937893667402, 8900.5925178484, 8898.425644023335]"
randomized,60000,100,4,0.1214885711669921,"[7337.458108245655, 7099.024701922922, 0.7223854221608454, 0.7196905391670846]"
randomized,50000,200,8,0.2007733583450317,"[6841.235073520955, 6837.411939964274, 6834.127292601143, 6448.062394003366, 0.6682535868926849, 0.6661156824736624, 0.6646570239813757, 0.6643725111649529]"
full,10000,400,6,0.1537650108337402,"[3446.430236906101, 3440.307649846468, 3431.61315693991, 3430.0808266839763, 3420.1773008702744, 3412.1411156099216]"
randomized,30000,100,10,0.0680675983428955,"[5272.332492355382, 5019.6359625078785, 0.519549175091715, 0.5169122609213461, 0.5150252282131254, 0.5136024213556516, 0.5130853521225675, 0.5127005024324115, 0.5112969590027576, 0.510775555049369]"
full,40000,800,12,1.7008464336395264,"[6575.154756195011, 6563.350025855017, 6559.7619049057475, 6549.124287969943, 6548.224578388233, 6545.789333878239, 6534.938236797568, 6529.95853750452, 6527.153178564514, 6521.687382591676, 6517.188907531444, 6516.305355880057]"
randomized,20000,500,6,0.1754914999008178,"[4716.999064296408, 4708.638486998767, 4698.771192054106, 4696.9399285423615, 4684.755600146222, 4677.63815784251]"
randomized,50000,700,1,0.4726615190505981,[7214.538312948972]
randomized,20000,700,16,0.23300940990448,"[4840.128721292026, 4830.519128648963, 4819.806642130908, 4815.513380861968, 4813.158775000954, 4806.474626186572, 4803.157639828868, 4797.7652343390855, 4790.683270106693, 4779.850850467075, 4776.024648359996, 4773.06658186343, 4764.417183720777, 4095.741498070253, 0.46464580784123843, 0.46182402574328973]"
randomized,70000,100,4,0.1454403400421142,"[7913.004333847333, 7675.890168364742, 0.7776682366826682, 0.775539134919857]"
randomized,40000,100,10,0.0898690462112426,"[6039.098020753725, 5789.87598269765, 0.5953494071062315, 0.5930504427989427, 0.5924071978410745, 0.5916089128896338, 0.5911314378524422, 0.5894204635269085, 0.5877393325419693, 0.5870245985182976]"
randomized,20000,300,8,0.1204839468002319,"[4573.637087615863, 4557.08333072901, 4552.185027579599, 4536.261195254284, 4527.763113648953, 4099.879026220102, 0.4424390164114149, 0.44167166457667695]"
full,20000,300,1,0.1796352863311767,[4573.637087615861]
randomized,100000,400,8,0.621308159828186,"[9698.844424190065, 9692.287551328518, 9682.9970472094, 9675.95515475554, 9667.079345121067, 9666.05229080884, 9656.612295894247, 9120.512794209442]"
randomized,20000,300,14,0.1037299871444702,"[4573.637087615859, 4557.0833307290095, 4552.185027579596, 4536.2611952542875, 4527.763113648949, 4099.879026220102, 0.44348935535328154, 0.4417422219152255, 0.4406251142553601, 0.4395250712792885, 0.4390762834368352, 0.4381445697396131, 0.43748736452664183, 0.436510203786804]"
randomized,30000,600,4,0.2616652011871337,"[5694.958472211835, 5678.907793510772, 5675.2902149765705, 5673.147098493711]"
randomized,70000,300,4,0.310795259475708,"[8136.049712128702, 8124.509213792965, 8106.789712942309, 8099.909482779736]"
randomized,60000,700,14,0.635020089149475,"[7836.900355013432, 7826.715032875992, 7811.637471667332, 7805.644198362291, 7796.594776094412, 7794.703628869501, 7790.6416885681265, 7787.351270397887, 7781.30714245707, 7775.807010535987, 7764.810701974403, 7759.365240537836, 7755.926248806615, 7073.5109715942535]"
full,30000,700,14,0.9924948453903198,"[5754.469811026591, 5748.499081254936, 5741.580598171056, 5731.983451194456, 5726.146005125855, 5722.215824286301, 5712.362685042834, 5704.592325430193, 5703.420190779312, 5697.103975177482, 5692.367727470955, 5690.59624938793, 5686.608382675892, 4989.786263838552]"
full,20000,400,14,0.275119137763977,"[4647.130491872221, 4632.074509830502, 4626.709408021867, 4621.1486839967865, 4616.229465517634, 4611.9469121995535, 4606.988004857462, 4099.879433857667, 0.4596875970014105, 0.4590402670047474, 0.45851832290909394, 0.45825250603805, 0.4580916553154173, 0.45741086493414507]"
full,60000,900,16,3.0047831296920777,"[7928.954019106008, 7915.976639332824, 7909.845008835684, 7902.885116274572, 7899.621557441421, 7896.491743120781, 7886.497833533598, 7880.787208826296, 7879.159282568584, 7873.787303272063, 7872.380037798853, 7865.2617662636785, 7862.370093570615, 7857.556241515678, 7854.928410908317, 7849.182404135617]"
randomized,40000,300,8,0.1973383426666259,"[6272.033780190414, 6255.831413580082, 6239.26376758307, 6237.491981609826, 6228.951362406368, 5758.676727920887, 0.6092108369915354, 0.6073678678889312]"
randomized,60000,100,8,0.1366610527038574,"[7337.458108245654, 7099.024701922923, 0.7248789502381365, 0.7224257133162627, 0.7201558520981824, 0.719127407991848, 0.7182187106086457, 0.7171203750373013]"
full,80000,200,6,0.733980917930603,"[8556.959564117291, 8546.090816549071, 8533.302300275882, 8153.314415897173, 0.8528537823260606, 0.8520945559427664]"
randomized,50000,800,16,0.6351765155792236,"[7262.907200866187, 7249.00811368504, 7236.840715427933, 7235.245987943119, 7233.977665684412, 7224.430002211239, 7217.315943088209, 7215.2103825863205, 7212.691715201177, 7209.5253510457715, 7203.301983597414, 7198.6898928109695, 7197.036163031143, 7193.982040868207, 7187.501121125609, 6437.7384364540085]"
full,50000,300,4,0.5818447589874267,"[6964.436979565701, 6932.833201987834, 6924.519416377992, 6916.025967469435]"
randomized,30000,800,1,0.3271992444992065,[5796.220941734752]
randomized,30000,200,14,0.1205117225646972,"[5397.578042955285, 5393.951531217711, 5371.86359812023, 5016.602031921605, 0.5266771148249033, 0.525272582597347, 0.5243454006357084, 0.5224539434640695, 0.5215378318614138, 0.5201247592923073, 0.5192955186225762, 0.5189638535846548, 0.517916434513128, 0.5172874480492665]"
randomized,10000,1000,20,0.1674055814743042,"[3791.5714860063053, 3782.3131616321043, 3777.3866313300796, 3770.2987988507716, 3765.279990495105, 3759.3797503841415, 3752.893886730582, 3749.04123257703, 3747.2354815602216, 3741.3663361898534, 3737.6107121302107, 3726.9422982665037, 3726.3384970487928, 3721.400780547923, 3720.6808351426785, 3717.207225387499, 3714.7934292406467, 3709.6625725895265, 3702.786259617686, 2877.683451166288]"
full,50000,1000,6,2.9345153331756597,"[7369.31117874367, 7347.510291245426, 7345.360604151306, 7342.854177021494, 7336.617665627891, 7334.135696500489]"
full,100000,700,12,3.994537734985352,"[9891.363070341367, 9879.409370193373, 9867.582203652322, 9862.128432232454, 9856.584389240159, 9852.458877433737, 9847.750017350223, 9841.38196244917, 9834.920068015363, 9828.24337880604, 9824.512374156338, 9820.530353915527]"
full,10000,300,20,0.105500054359436,"[3372.939801914308, 3361.4488381915617, 3347.1528138341814, 3336.259449158986, 3331.1593666187996, 2907.99957581276, 0.33271874759644826, 0.3324082077399073, 0.33201132034139, 0.33168898675136355, 0.3313082249455383, 0.3307211710037457, 0.3303006258394477, 0.3295653818912937, 0.32899236239722895, 0.3285967014034592, 0.32792866024322825, 0.3277043123576104, 0.3271083451476115, 0.3267564861439709]"
randomized,40000,100,16,0.1177463769912719,"[6039.098020753723, 5789.87598269765, 0.5960333682447986, 0.5955019402452923, 0.5948441476190562, 0.5943923398819833, 0.5914647954326498, 0.5905407910244805, 0.5899838107986214, 0.5892731697310991, 0.5872795932721714, 0.5864832006685679, 0.5859676553684147, 0.5851388039910136, 0.5836021955424012, 0.5824419118834685]"
full,20000,400,10,0.2801067590713501,"[4647.130491872221, 4632.074509830502, 4626.709408021867, 4621.1486839967865, 4616.229465517634, 4611.9469121995535, 4606.988004857462, 4099.879433857667, 0.4596875970014105, 0.4590402670047474]"
randomized,60000,800,4,0.6646377325057984,"[7867.8448501068, 7858.876824401775, 7854.371270010275, 7853.549799081355]"
full,50000,700,16,1.747721290588379,"[7225.146784089913, 7200.124670915721, 7195.245158238562, 7186.9688245179095, 7185.450533596507, 7175.690896139034, 7167.513329754211, 7163.117814157022, 7159.150422233939, 7155.379036377895, 7151.368974508339, 7147.929675500768, 7144.29345567971, 6459.240421237955, 0.7135205346005394, 0.7134476148379235]"
randomized,30000,800,10,0.3555693864822388,"[5806.5365304338975, 5794.366244820106, 5787.119302686782, 5783.280955942359, 5777.557258767928, 5770.651105593484, 5768.634797791002, 5760.5748541480625, 5752.517310800783, 5749.388544971536]"
randomized,50000,600,6,0.4301720142364502,"[7151.404476913127, 7141.445411063053, 7135.77700897862, 7128.310213002644, 7122.964199522338, 7115.601253581955]"
randomized,20000,900,2,0.245728325843811,"[4931.05934335632, 4925.610089906437]"
randomized,30000,200,16,0.1415969610214233,"[5397.578042955283, 5393.951531217712, 5371.863598120232, 5016.602031921609, 0.5262750788250877, 0.5252271641052466, 0.5241370630929816, 0.5238153124136901, 0.5225479109780464, 0.5211533118016872, 0.5207787919478911, 0.520340450445044, 0.5192908191436533, 0.5182617992140658, 0.5168326652986653, 0.5159563877722055]"
randomized,50000,1000,14,0.7231325387954712,"[7369.311178743673, 7347.510291245421, 7345.360604151297, 7342.85417702149, 7336.617665627894, 7334.135696500492, 7323.709892478193, 7317.998086611718, 7310.599986767156, 7305.255851763918, 7302.284995824447, 7298.485509091989, 7297.890626828555, 7293.53226998935]"
full,90000,600,4,2.8652251958847046,"[9349.303436613485, 9338.57785169099, 9330.923911426242, 9324.13417963567]"
full,10000,800,4,0.4893544197082519,"[3695.007605061085, 3689.350293140658, 3677.968289079685, 3672.951070110592]"
full,30000,300,6,0.2855143785476685,"[5500.387885198708, 5481.134974697214, 5473.435163215378, 5465.92945640842, 5456.713415888511, 4991.374458157691]"
randomized,100000,800,14,1.2380631685256958,"[9944.551339060072, 9930.932459829557, 9920.767263176594, 9916.659054498283, 9903.83095613212, 9901.465112756217, 9894.425092699745, 9889.221273852405, 9884.816019595874, 9883.226646844289, 9876.597990795162, 9873.396302837124, 9871.460457224073, 9867.649633918401]"
randomized,100000,700,1,0.9469784259796142,[9881.740948844943]
randomized,20000,200,6,0.0741447925567626,"[4493.505434721517, 4473.2654625235145, 4468.596421375505, 4106.863922275748, 0.4351774607951569, 0.43421951353815674]"
randomized,60000,200,1,0.1863388061523437,[7462.155953247917]
randomized,80000,600,18,0.8092859745025635,"[8850.793013433371, 8847.582351483548, 8841.725261832158, 8832.827929010979, 8827.82600090649, 8821.315327821983, 8820.633913928363, 8818.184374893592, 8813.29127203971, 8803.515655800438, 8800.42379149966, 8144.730720692042, 0.8577349888969649, 0.8553304933105979, 0.8539649321192236, 0.8528888769064649, 0.851929805497975, 0.8505693692339724]"
full,50000,100,18,0.2554163217544555,"[6717.913307892221, 6473.508019446563, 0.6709002031558696, 0.6708193314371169, 0.6695915291863412, 0.6691528988095234, 0.6679521699953778, 0.6674060511790711, 0.6664499297362846, 0.6663251704733905, 0.6655877479118801, 0.6650829867083371, 0.663827460625428, 0.6633222666776445, 0.662843352687439, 0.6623453184576561, 0.6615521734709122, 0.6614985300394683]"
full,70000,800,14,3.2665460824966432,"[8447.265225607714, 8437.8351423023, 8428.483841257143, 8417.470966517647, 8415.719598566819, 8414.5967621019, 8407.09179978879, 8399.046106526435, 8392.72165025011, 8390.3157422156, 8387.30851570101, 8384.732860632028, 8382.5903279672, 8373.379749722768]"
full,60000,100,4,0.3292549610137939,"[7337.458108245655, 7099.024701922918, 0.733371739229685, 0.7320344969654609]"
randomized,60000,1000,10,0.8249392747879029,"[7974.902431822373, 7966.103397670499, 7959.755336406284, 7954.815079481636, 7943.201927764349, 7937.160391530109, 7936.4806849746265, 7931.66999609416, 7928.961667048949, 7923.492722443465]"
randomized,60000,200,16,0.3098766088485717,"[7462.155953247914, 7456.911345664493, 7446.159408098182, 7057.55259465901, 0.7310067696255201, 0.7301437227344009, 0.7289506824916419, 0.7281004784821186, 0.7261349346426909, 0.7254386714231956, 0.724338049511778, 0.7221972523380744, 0.721971766894364, 0.7209927147870931, 0.7200669977473526, 0.718966719257108]"
randomized,40000,800,1,0.4313752889633179,[6561.886855832326]
randomized,80000,700,8,0.8323331594467163,"[8929.3941555345, 8914.93789366739, 8900.592517848396, 8898.425644023335, 8894.71257131225, 8887.388051130492, 8882.849342574631, 8879.950343578317]"
full,100000,600,12,3.23481867313385,"[9826.661133805515, 9809.78720729009, 9803.832428840133, 9795.585802411482, 9786.859771716694, 9784.091808266869, 9781.01570687551, 9778.199485272524, 9773.59860647069, 9770.625189461773, 9767.313810042426, 9090.860429464103]"
randomized,70000,200,20,0.3430745840072632,"[8035.560651205274, 8023.4008620308, 8015.831708455532, 7632.039940281165, 0.7863923625336675, 0.7858132232522453, 0.7842768182069997, 0.7831536602180854, 0.7825117257469564, 0.7821672596633463, 0.7814854262594396, 0.7809498103581818, 0.7796718149294201, 0.7783625305207927, 0.7763088739495932, 0.7757857673394356, 0.7753104051771528, 0.7742060458534663, 0.7726259800271217, 0.772103772644336]"
randomized,90000,200,10,0.3736688137054443,"[9053.656889871378, 9041.312718657555, 9033.674691851418, 8641.084373169648, 0.8871646752456921, 0.8847715487500274, 0.8843194969317099, 0.8829912915660759, 0.8803977924339362, 0.8802270376771062]"
randomized,70000,900,6,0.928036880493164,"[8495.075623289715, 8482.410458782779, 8478.439093336021, 8476.162888306962, 8470.748559513111, 8450.889903579737]"
randomized,100000,600,20,1.0479520320892337,"[9826.661133805517, 9809.7872072901, 9803.83242884014, 9795.585802411471, 9786.859771716694, 9784.091808266863, 9781.015706875514, 9778.199485272527, 9773.598606470698, 9770.62518946178, 9767.313810042431, 9090.860429464106, 0.9513025381565865, 0.9499202084241449, 0.9488689008937482, 0.9477169666431271, 0.9469681261239651, 0.9457916189895437, 0.9445044580496641, 0.9437196714468368]"
full,100000,600,20,3.212433123588562,"[9826.661133805515, 9809.78720729009, 9803.832428840133, 9795.585802411482, 9786.859771716694, 9784.091808266869, 9781.01570687551, 9778.199485272524, 9773.59860647069, 9770.625189461773, 9767.313810042426, 9090.860429464103, 0.9763469190152342, 0.9762063054544892, 0.9750302231845217, 0.9748579127549432, 0.9743833033654745, 0.9739796332603662, 0.9738079881100125, 0.9736483782068724]"
randomized,10000,500,2,0.0697895765304565,"[3528.7172128009197, 3521.551179298086]"
full,20000,700,10,0.663498044013977,"[4840.128721292025, 4830.519128648969, 4819.80664213091, 4815.513380861969, 4813.158775000956, 4806.4746261865685, 4803.157639828861, 4797.765234339081, 4790.683270106695, 4779.850850467076]"
full,50000,300,10,0.5788668394088745,"[6964.436979565701, 6932.833201987834, 6924.519416377992, 6916.025967469435, 6911.59378021467, 6453.248154307007, 0.6909467455900211, 0.6901409196781956, 0.6897781201560602, 0.6883880589016619]"
full,50000,1000,12,2.9553756713867188,"[7369.31117874367, 7347.510291245426, 7345.360604151306, 7342.854177021494, 7336.617665627891, 7334.135696500489, 7323.709892478192, 7317.998086611721, 7310.599986767151, 7305.255851763914, 7302.284995824448, 7298.4855090919855]"
full,10000,500,18,0.2214132785797119,"[3528.7172128009165, 3521.551179298084, 3505.299495122644, 3503.1753912950353, 3498.2088922379753, 3490.6992371351716, 3488.7934357179606, 3477.91520253008, 3475.103008985959, 2917.964772296905, 0.3459847296931965, 0.34573662381907433, 0.34540440174662573, 0.3446002613631214, 0.3444175838637248, 0.34416735178244445, 0.34391451364704184, 0.34343405994683934]"
randomized,90000,800,2,0.9820196866989136,"[9454.040303431952, 9453.082983652936]"
randomized,70000,400,18,0.4869163513183593,"[8200.45565213156, 8192.548416846494, 8191.824299456946, 8176.064146692071, 8171.4037782854875, 8166.100304889308, 8161.222255595432, 7629.326082207209, 0.7962647896921666, 0.7948453361798857, 0.7931422944460308, 0.7928095388477187, 0.7914314505516415, 0.7904910075105148, 0.789064560450241, 0.7884853290093949, 0.7872691668190132, 0.7864040763105459]"
full,100000,1000,6,6.279350280761719,"[10027.25843468594, 10022.327658611195, 10019.02772889038, 10010.925876711244, 10003.23935624239, 9999.432230179393]"
randomized,10000,700,10,0.1109831571578979,"[3649.98238306372, 3627.4541202032487, 3621.1148623796794, 3616.482176239411, 3609.5988343640906, 3607.416066566501, 3599.333640835293, 3598.0675707076944, 3593.5452427440478, 3587.7739492340625]"
randomized,10000,800,10,0.1201894283294677,"[3695.0076050610855, 3689.3502931406597, 3677.9682890796803, 3672.951070110591, 3666.6711338304804, 3662.6321794164355, 3660.644348839243, 3646.0660141846083, 3640.4240436771743, 3636.921930641855]"
full,20000,200,2,0.0963129758834838,"[4493.505434721522, 4473.2654625235145]"
randomized,30000,100,1,0.0512906551361084,[5272.332492355383]
full,90000,600,2,2.813724708557129,"[9349.303436613485, 9338.57785169099]"
full,80000,400,18,1.459495759010315,"[8734.136129082148, 8727.17679433991, 8720.581799695525, 8707.583230364959, 8703.486455568458, 8698.68261158598, 8691.484302553265, 8164.666833226752, 0.8683163646771603, 0.8681072450217654, 0.867658041994361, 0.8672404039076421, 0.8665773281287081, 0.8660422519677973, 0.8656409836991135, 0.8654080612166217, 0.864645236115731, 0.8645293213644033]"
full,40000,700,2,1.3496904373168943,"[6538.807409191292, 6514.463997932105]"
randomized,80000,300,8,0.3489911079406738,"[8661.952394441576, 8646.682866489078, 8641.094407741784, 8628.396916693104, 8624.593270705112, 8147.841025662819, 0.8430074649443792, 0.8415104775741724]"
randomized,90000,400,12,0.5822058916091919,"[9229.563227149065, 9224.18619125291, 9214.307168059744, 9200.69736912584, 9195.627862739622, 9188.976372487768, 9187.01221750252, 8660.403712612988, 0.8980447605738585, 0.8934539533904997, 0.8932701279227733, 0.8913814037464224]"
full,60000,1000,6,3.588567543029785,"[7974.902431822378, 7966.103397670503, 7959.75533640629, 7954.81507948164, 7943.201927764347, 7937.160391530114]"
full,80000,800,16,3.795485186576843,"[8968.282350418214, 8963.795430771605, 8952.27420974341, 8946.788686512167, 8943.400312013808, 8935.944982017545, 8932.696023273658, 8924.146541956548, 8922.803166139129, 8919.87179292785, 8916.827897680909, 8908.914033187712, 8907.623975162785, 8902.565280200668, 8900.20330881292, 8142.086475063806]"
randomized,90000,100,14,0.2740932464599609,"[8934.769831021824, 8672.657879516186, 0.8811170335273684, 0.8803044857645563, 0.8794805580219807, 0.8785314597735779, 0.8762215156729581, 0.8755649147915756, 0.8739663138328193, 0.8730028639012524, 0.8721386015799191, 0.8720274020007752, 0.8707985590428117, 0.8693690631723652]"
full,50000,500,4,1.0802667379379272,"[7089.760396376941, 7083.308992633247, 7071.190092257077, 7063.21758169352]"
