solver,r,c,comp,time,sing_values
randomized,50000,1000,6,0.6816489458084106,"[7362.774438726066, 7342.82743836527, 7340.894697935973, 7334.407952979945, 7327.93730052647, 7319.330941213744]"
randomized,40000,800,20,0.5284024000167846,"[6575.154756195009, 6563.35002585501, 6559.761904905747, 6549.124287969948, 6548.224578388237, 6545.789333878245, 6534.938236797571, 6529.958537504514, 6527.153178564508, 6521.687382591686, 6517.188907531453, 6516.305355880059, 6513.395953558097, 6509.912762477392, 6502.892203065227, 5771.01311927313, 0.6335797375722645, 0.6316596264736106, 0.6294857795947805, 0.6278839870784007]"
randomized,10000,600,6,0.0999428987503051,"[3581.688379953813, 3571.091920669369, 3565.860590505277, 3559.35532989801, 3549.894997467505, 3549.0861963735897]"
randomized,50000,400,18,0.3524892091751098,"[7023.2408871439075, 7011.783543380205, 7006.778747814394, 7002.021523074159, 6992.814576475403, 6990.696883882014, 6984.9540791522395, 6449.513617680091, 0.6813641679929027, 0.6796565378625207, 0.678595803763823, 0.6781527441471391, 0.6772117904002859, 0.6749587181716292, 0.673508449478854, 0.6727340667838407, 0.6721626736067857, 0.6711220225287955]"
full,10000,1000,1,0.712679100036621,[3791.571486006295]
full,10000,300,6,0.1017849206924438,"[3372.939801914308, 3361.4488381915617, 3347.1528138341814, 3336.259449158986, 3331.1593666187996, 2907.99957581276]"
full,40000,700,12,1.3587366342544556,"[6538.807409191292, 6514.463997932105, 6505.422975195046, 6499.243132721076, 6492.797203155532, 6489.188918050972, 6485.547103915445, 6480.053794978073, 6475.389894973886, 6471.056371900249, 6467.150584218924, 6462.294046649569]"
full,50000,800,20,2.177019953727722,"[7262.90720086619, 7249.008113685047, 7236.8407154279375, 7235.24598794312, 7233.977665684417, 7224.430002211232, 7217.315943088205, 7215.210382586324, 7212.6917152011765, 7209.525351045771, 7203.301983597416, 7198.689892810963, 7197.036163031144, 7193.982040868213, 7187.5011211256115, 6437.738436454005, 0.7182491007760783, 0.717822187848304, 0.7176473594019109, 0.7176162168368655]"
randomized,70000,400,14,0.4536226511001587,"[8200.45565213156, 8192.548416846503, 8191.82429945695, 8176.06414669207, 8171.403778285495, 8166.100304889313, 8161.22225559544, 7629.326082207202, 0.7990463708152025, 0.7958126748116323, 0.7948916665609135, 0.7935458404839104, 0.7923218727830489, 0.7907717820909757]"
randomized,30000,900,6,0.3859932899475097,"[5854.3726477237515, 5845.270407469257, 5835.113183957295, 5833.951792253755, 5830.3820080415335, 5818.393241493413]"
full,100000,200,10,1.0041539669036863,"[9520.870530371209, 9514.966097632701, 9501.635377462413, 9116.746358934239, 0.9498185087084153, 0.9485888489083021, 0.9485287071316532, 0.9476751117961385, 0.9464407683329621, 0.9462325979513746]"
randomized,90000,200,20,0.4567961692810058,"[9053.656889871374, 9041.31271865755, 9033.67469185142, 8641.084373169651, 0.8887458837299648, 0.8867871145741945, 0.8851109627318569, 0.884817090720586, 0.884013710487279, 0.8832269092386835, 0.8826204705810505, 0.8819468172497992, 0.8810304310134033, 0.8794636556547949, 0.8786060919214426, 0.8771715637414973, 0.8764796059802449, 0.8748563912588002, 0.8745264134148233, 0.8735705822257703]"
randomized,90000,900,10,1.178392243385315,"[9518.013022238334, 9509.187704412274, 9503.810911002263, 9494.286403637738, 9491.714809470866, 9488.099245024832, 9481.39593601641, 9474.757123257268, 9472.788476008687, 9469.14453663688]"
full,10000,500,14,0.2205741643905639,"[3528.7172128009165, 3521.551179298084, 3505.299495122644, 3503.1753912950353, 3498.2088922379753, 3490.6992371351716, 3488.7934357179606, 3477.91520253008, 3475.103008985959, 2917.964772296905, 0.3459847296931965, 0.34573662381907433, 0.34540440174662573, 0.3446002613631214]"
randomized,10000,400,16,0.0721215963363647,"[3446.4302369060974, 3440.3076498464666, 3431.6131569399063, 3430.080826683978, 3420.177300870274, 3412.1411156099175, 3409.9176146759396, 2914.8831268388176, 0.3332129890765994, 0.3325810060416988, 0.3308122697485639, 0.32992342753454695, 0.32955958725094936, 0.3288949202907603, 0.32767433925774603, 0.3273401313593901]"
full,50000,500,14,1.0850115060806274,"[7089.760396376941, 7083.308992633247, 7071.190092257077, 7063.21758169352, 7053.122170233781, 7051.456810919269, 7045.779093707962, 7044.664470282394, 7041.449249015897, 6457.086322944703, 0.7033665551688171, 0.7026936067202185, 0.7025295631461616, 0.7020178895341354]"
randomized,30000,600,12,0.2837731122970581,"[5694.958472211836, 5678.907793510772, 5675.290214976567, 5673.1470984937105, 5665.674108841451, 5657.534921652506, 5655.944536198053, 5642.6872610881055, 5642.342170607812, 5638.585622020673, 5634.901589141531, 4982.004226355555]"
