solver,r,c,comp,time,sing_values
randomized,30000,600,12,0.8319118022918701,"[55.68016868985887, 55.390435204685346, 55.30282642254562, 55.166032153486235, 55.08992352739807, 55.01166581745049, 54.877342409533334, 54.84921541325402, 54.71073542467798, 54.654454855960566, 54.479475449082166, 54.470928487614295]"
full,30000,100,8,0.178922414779663,"[52.723614633058055, 52.649358863222204, 52.558753032969605, 52.49799235525002, 52.38915630160253, 52.24158494521457, 52.145435740639755, 52.076839115858554]"
randomized,80000,100,6,0.496769905090332,"[83.26580244142237, 83.16969648327806, 82.99607318352926, 82.79932265791426, 82.76691314479619, 82.6267837591534]"
full,40000,600,20,1.106680393218994,"[64.70064165687116, 64.60345241992606, 64.57784280360362, 64.53560348256987, 64.43538423857578, 64.4046182829742, 64.33722497518617, 64.24077006041973, 64.20513069658402, 64.09668345242696, 64.0638587653389, 64.01101099918853, 63.957716023055426, 63.906460907511565, 63.851946491493024, 63.84862717016474, 63.79864165841064, 63.78542520843469, 63.75949381156207, 63.734398520147685]"
randomized,40000,1000,14,1.1415290832519531,"[64.88176778411788, 64.83845213799786, 64.63148585617408, 64.494450151968, 64.44535132374651, 64.33662603478898, 64.27418297036839, 64.22140417206447, 64.15655041921654, 64.07524901741847, 63.94056838986448, 63.883780639873166, 63.81650700101787, 63.75521494728532]"
full,90000,700,8,4.413851499557495,"[94.2708486315409, 94.1116002619175, 94.02532240625796, 93.96825473373623, 93.90303185944762, 93.86582399007874, 93.81663491082482, 93.75732155949997]"
randomized,10000,700,20,0.9082672595977784,"[35.94631952600218, 35.792015187979196, 35.63409923937713, 35.45425024676415, 35.37422094780315, 35.29186468428646, 35.18524622907978, 35.08948192703232, 35.0388724483779, 34.97517196328927, 34.90828444657925, 34.82436324143694, 34.769754214614025, 34.715106420484766, 34.65258091390916, 34.56523820167094, 34.49570852972684, 34.42628291744666, 34.35492607064376, 34.29953138186945]"
randomized,50000,1000,1,0.9439859390258788,[71.28831373531779]
full,100000,600,14,3.903294563293457,"[98.27379489772197, 98.10751519057399, 98.0387177909835, 97.95870383516315, 97.86979854431135, 97.84148133984327, 97.81104910642644, 97.78236658145717, 97.74054697399058, 97.70942649366722, 97.67841594071959, 97.63757253446444, 97.62136844156542, 97.51453352113914]"
full,100000,900,4,6.585590600967407,"[99.95391433723177, 99.86841890347604, 99.70511436437965, 99.67205050026317]"
full,80000,800,4,4.1204164028167725,"[89.68361411511323, 89.63874308275993, 89.52275453489968, 89.46956039868172]"
full,30000,900,18,1.435560941696167,"[58.55942649539469, 58.48507276104098, 58.40499686977695, 58.347898111158564, 58.318126198329196, 58.21645983438527, 58.170486949139566, 58.142381922276726, 58.11930912455934, 58.104242929247135, 58.02913711991669, 57.97725962708043, 57.962494738656424, 57.90882180351971, 57.8612763904708, 57.808590543413864, 57.78112959053504, 57.75158043818441]"
full,80000,700,4,3.4308383464813232,"[89.2940451228309, 89.15517573037911, 89.0063348602658, 88.98430767038434]"
full,90000,700,1,3.595484733581543,[94.2708486315409]
randomized,100000,700,16,1.5377748012542725,"[96.21603538098977, 96.05309012173242, 96.00689838007803, 95.81838216586604, 95.60266345736663, 95.50444520274712, 95.39794690574179, 95.3459990992496, 95.18554528745271, 95.0892502172815, 95.05534754792373, 94.98830809684293, 94.94066033021738, 94.80225791311067, 94.75918361549269, 94.6758074474127]"
randomized,30000,1000,6,0.7973520755767822,"[57.47979087642536, 57.31488939053323, 56.998872830181085, 56.90418682590618, 56.78129391719764, 56.64600811778127]"
full,30000,200,10,0.2174875736236572,"[53.9763125836595, 53.942884861983934, 53.728058221422096, 53.66134388807019, 53.63458124879644, 53.50282020012116, 53.49139395010031, 53.43248485373179, 53.3854385137735, 53.29003226070724]"
randomized,70000,400,6,0.9322841167449952,"[79.99680501026253, 79.77818899207419, 79.73017498145772, 79.45737944075618, 79.39787183760241, 79.29105887491036]"
full,20000,1000,1,1.2660868167877195,[49.8254395020497]
randomized,60000,200,6,0.4513494968414306,"[73.19500666435583, 72.9932103142227, 72.88117020004658, 72.82201662350712, 72.60989643900291, 72.5514856700903]"
full,20000,800,12,1.6255757808685305,"[48.856207616719054, 48.76101612579082, 48.70364546084887, 48.65026939750472, 48.606790821349826, 48.542183464803635, 48.48616507121339, 48.430788191540344, 48.36979486471195, 48.33135802691316, 48.29577083638131, 48.270171612294384]"
full,80000,800,12,4.043468475341797,"[89.68361411511323, 89.63874308275993, 89.52275453489968, 89.46956039868172, 89.43483055347514, 89.36104679949254, 89.32702248735687, 89.24147597743864, 89.22916471331109, 89.20359503462784, 89.17078576336279, 89.08924446451533]"
