row,solver,r,c,time,comp,density,sing_values
row,randomized,60000,6000,0.7032819032669068,90,0.0001,"[2.6440584342208164, 2.6260430599462405, 2.5901612919403543, 2.5822069179414764, 2.5453699247226997, 2.5290492183153153, 2.525366711156032, 2.5097607364472525, 2.505655258653355, 2.4660474867790154, 2.4571486556529094, 2.444855042302336, 2.422920358564564, 2.41465717729923, 2.400523794938121, 2.387224957481586, 2.3835797123042113, 2.381376602935933, 2.377100234253238, 2.368852405648372, 2.3664730592411503, 2.3624877202636183, 2.3594425375642283, 2.3544294635968837, 2.3505308584323816, 2.343758767605664, 2.340453695506998, 2.335716583714297, 2.3325389422748546, 2.330641011640742, 2.3264381810448387, 2.3216438651340257, 2.3199597369932037, 2.317188070086004, 2.3126965956431254, 2.311144397352332, 2.3054850626606185, 2.3016346518116673, 2.2982670049120597, 2.295525673069213, 2.2907731032051153, 2.2891556201561696, 2.285463546772818, 2.2837752139562286, 2.2824688887447837, 2.2797945805200373, 2.2780521194642955, 2.275671078387958, 2.272661280254997, 2.267381199594402, 2.2636331030285617, 2.2630187475905394, 2.260800491839575, 2.2596285201902675, 2.2570148295946737, 2.252690540875974, 2.249732643507435, 2.2479049440887815, 2.2457865199238616, 2.240572690906465, 2.237478498613762, 2.2348817127177045, 2.2332000840394914, 2.2299410758163565, 2.228816090025319, 2.2277573921663434, 2.2262764783025717, 2.2211573728125265, 2.2183460903250354, 2.212775586368117, 2.211163542437924, 2.2066240169208697, 2.2037119707127735, 2.201101948112131, 2.1991395372737386, 2.1958965810758064, 2.194432967272459, 2.1936216212959, 2.189646564039559, 2.1870577384987326, 2.182549304705059, 2.180514257003178, 2.178899666921442, 2.1753457305021575, 2.174070561864493, 2.1710125054987204, 2.1677397134775864, 2.1650938446838675, 2.1615544938217215, 2.1539619489472566]"
row,arpack,60000,2000,0.6527085065841675,60,0.0005,"[4.564568295719587, 4.493727368491428, 4.408320158557517, 4.38746290052641, 4.302591198430867, 4.295786167769763, 4.291801945763346, 4.287021092361152, 4.275358437035593, 4.263286500203529, 4.254654002871449, 4.239525052035034, 4.235217344246258, 4.217108406591172, 4.205988342038994, 4.199558865723516, 4.196174878894368, 4.192981265113012, 4.187498798050257, 4.183288907605677, 4.178091116181159, 4.176981374689562, 4.164939218766639, 4.14866574012251, 4.1464038767383675, 4.144474320804477, 4.139184622056469, 4.13220081296206, 4.129122410366329, 4.124473626682431, 4.121007809811259, 4.11584513252508, 4.111864973776363, 4.108829908211413, 4.107934256345021, 4.105593623799083, 4.102614922676488, 4.0969943857268305, 4.093080420977793, 4.089502600678442, 4.087494625884874, 4.083557997944269, 4.080447791097763, 4.077808273516525, 4.074025184641269, 4.07290333143124, 4.06757298869121, 4.063951819753733, 4.061134692425859, 4.058878432309493, 4.05707888042231, 4.0560162515808145, 4.053354584674322, 4.04885191848785, 4.048332617909446, 4.046003516885234, 4.0404851340508605, 4.0383258040468055, 4.037042787270667, 4.030102172132296]"
row,arpack,60000,6000,8.042429542541504,70,0.01,"[96.01551101503682, 18.67273367510088, 18.6645989850855, 18.660242958908583, 18.648840732566526, 18.64506300071456, 18.63943717363819, 18.628825606012246, 18.625825564443883, 18.61867252144629, 18.6139285680615, 18.6064972995002, 18.600321420931103, 18.593079157386853, 18.585106964571615, 18.581801803403916, 18.579726886845844, 18.5728975446749, 18.562754670774556, 18.558100414451065, 18.551268710772455, 18.539413021393933, 18.537001386152376, 18.527070694293332, 18.523527290969138, 18.51779272683919, 18.512990313874912, 18.50648024315404, 18.505185955144608, 18.500292631973227, 18.49535378889109, 18.492889320265334, 18.489439497343227, 18.4843416188975, 18.481495207145233, 18.476981382469496, 18.469987932408657, 18.468086029712868, 18.462739960726772, 18.45657157370522, 18.45130222310745, 18.44362661400541, 18.443477012489133, 18.438366463041515, 18.43700893412096, 18.434077902563324, 18.42704820031529, 18.423747729967896, 18.4183685268838, 18.410974322862476, 18.407891427247787, 18.40507640166924, 18.40051299963903, 18.39858159999319, 18.39443838425034, 18.3888598111408, 18.386480985672563, 18.382651628772045, 18.381113108626096, 18.372965150250828, 18.371220703911863, 18.367046210470786, 18.364405687381133, 18.363358862326457, 18.35925689960811, 18.357003738295564, 18.353692061967532, 18.347329565261987, 18.342875880414883, 18.33926872443135]"
row,randomized,40000,4000,0.1639912843704223,20,0.005,"[32.77427986995922, 10.433528561924204, 10.416588085781154, 10.383241063805697, 10.37259538987706, 10.365340559291214, 10.360393681330637, 10.35397741480111, 10.33098938552226, 10.312736037214092, 10.3010471547134, 10.289911577395586, 10.286123650538231, 10.278609416845638, 10.268375117505325, 10.253578484670362, 10.246138341905592, 10.228097554407197, 10.211969471830457, 10.20033210852775]"
row,arpack,60000,6000,0.708284592628479,60,0.0001,"[2.6671991785579334, 2.658814310750372, 2.6209010934065735, 2.6146293425284783, 2.5825496854856818, 2.5746283285691614, 2.5693056560528733, 2.564120033847367, 2.554785668480402, 2.5157184313398173, 2.5081336947248642, 2.4986002234632267, 2.480047748413632, 2.4700430581649537, 2.4582487998928317, 2.449159170546183, 2.4445349644634957, 2.4412224733114476, 2.4354133172813763, 2.434385557894332, 2.4340692710679135, 2.432327323292544, 2.431877575812696, 2.4263623205979146, 2.4209746559038274, 2.4198369785090397, 2.4142107294349118, 2.412579343984176, 2.411061555221116, 2.410864949778053, 2.407119856840105, 2.4070199532896086, 2.4027922042759533, 2.399239472898439, 2.3967765814307147, 2.393971670758689, 2.392985087374433, 2.391602911955856, 2.384965436212241, 2.3751910760863315, 2.3748690730238553, 2.373628235890259, 2.3707351040479208, 2.3693877324054826, 2.365084561049294, 2.364407450299639, 2.3610907963652856, 2.360060251556621, 2.3589445382187084, 2.358394265399966, 2.3578675432318223, 2.352476549390569, 2.3517181014804183, 2.351415076636097, 2.3496124025334697, 2.347598022691314, 2.345895308594034, 2.345327964604564, 2.3448225069846447, 2.3429700454197318]"
row,randomized,60000,2000,0.0766889572143554,10,0.0001,"[2.4804704143249774, 2.4703924202892122, 2.423610289822509, 2.384873997347255, 2.360520041280282, 2.3495295083475476, 2.3412756934383134, 2.3374530479515028, 2.3107744010016518, 2.2933107602813974]"
row,arpack,60000,2000,0.4610361099243164,30,0.001,"[7.2485111289575865, 5.9772295208204955, 5.856767825893777, 5.8306523904059935, 5.7889775817749305, 5.738729297950038, 5.733013367780271, 5.7121784120342936, 5.697174810981174, 5.674857947797469, 5.664552953145324, 5.654791264930929, 5.647315291941806, 5.643251357823048, 5.637303967300611, 5.636240650511078, 5.6274743496511155, 5.622565529822041, 5.6130368128105195, 5.611153245956275, 5.604991572130146, 5.602057439294666, 5.599985759000965, 5.594832573168697, 5.591104526192487, 5.583631489593408, 5.577508507584056, 5.574952352961396, 5.567265725864787, 5.564049902038248]"
row,randomized,40000,2000,0.2845036268234253,80,0.0005,"[3.811582366640109, 3.792324372372179, 3.7377602516910313, 3.717486931607495, 3.694327272602462, 3.6295942497761358, 3.6266000316280325, 3.6137712384361107, 3.58488898165919, 3.559247459394684, 3.5522004105458898, 3.5379856041300686, 3.5271988257123743, 3.513740553681873, 3.5029745362176987, 3.4928092831054256, 3.490443493581563, 3.481055480145254, 3.4712328412710542, 3.4641909824784074, 3.462318413680425, 3.4600594330991497, 3.4450199037840585, 3.4425693761486817, 3.4389351433517836, 3.434126186254507, 3.427822943236797, 3.419358418770309, 3.4156608799128287, 3.4140772631056038, 3.397443439623154, 3.393446811879529, 3.3864927020111475, 3.38488837451247, 3.3783966474572003, 3.376696442579223, 3.370193072931513, 3.3624606686422434, 3.361034726245305, 3.3557418101137957, 3.3486269887067204, 3.3454637145393393, 3.3374558968663157, 3.334342966852284, 3.326955227905626, 3.326189606864851, 3.320580490626143, 3.3130585964516746, 3.310282904184503, 3.3061935860414104, 3.3011555641349766, 3.2942016557346365, 3.291558381011403, 3.289019162012253, 3.2854479728975114, 3.279307912538722, 3.277679636669375, 3.2708295589297913, 3.2659455791975374, 3.2631994897625134, 3.258418385431777, 3.2535463754946106, 3.2513365628940187, 3.2492632602505624, 3.2402514579966324, 3.2364156691058916, 3.2321296050409254, 3.228236691534886, 3.2265496355972827, 3.2218455555983896, 3.218656422678559, 3.21382231921364, 3.2039672705739433, 3.1979154079025625, 3.19365394661406, 3.1903161200260217, 3.1870570188854814, 3.185221170985673, 3.180741451376973, 3.1773350531799394]"
row,randomized,40000,2000,0.0719822645187377,20,0.001,"[5.997036777521123, 4.92712985805853, 4.864689880984459, 4.8104466695752395, 4.79105093776891, 4.729013566785981, 4.712464013157344, 4.695609455785132, 4.684154525058893, 4.669068553322146, 4.643567056010404, 4.638507137468707, 4.633840866952332, 4.626011996888983, 4.603550904343117, 4.596722127266853, 4.582289102040753, 4.580666902559213, 4.556737690132665, 4.545663062449572]"
row,arpack,40000,4000,2.347458744049072,80,0.01,"[64.4024310819491, 15.30591071013006, 15.286084004827625, 15.25586188532625, 15.250244874555644, 15.240067914000289, 15.235963459151737, 15.223487318912722, 15.219764513969192, 15.213354504047377, 15.210751305019162, 15.201449636267437, 15.192011490829916, 15.184559475892112, 15.182206937045976, 15.171260441855509, 15.169111393228473, 15.161634030965285, 15.153960051626921, 15.146060302989806, 15.13630175525714, 15.128950137785754, 15.124811975265441, 15.119340296626529, 15.115126993872432, 15.111491416886926, 15.109632110825888, 15.101720291237758, 15.100812438709678, 15.09291754142159, 15.089231956718788, 15.08298298401645, 15.07257066842352, 15.06956041169423, 15.067956938264818, 15.060654048347839, 15.056946192639625, 15.053619537700822, 15.051202109186866, 15.046097128646824, 15.03203334505606, 15.02904297173335, 15.027272572886798, 15.021620837449614, 15.018998719637477, 15.013078311348057, 15.00720346785113, 15.003759087230994, 14.996771089312261, 14.99387759232511, 14.991157518043716, 14.986365356482391, 14.9846437519891, 14.976889800894273, 14.976049351951739, 14.972682336244379, 14.968528404923642, 14.965569715857933, 14.960658046988803, 14.95705055170632, 14.950217606664967, 14.948174414710731, 14.943079381308971, 14.940475270694133, 14.936520095283075, 14.931828793704472, 14.928780118586664, 14.925773192313434, 14.921884199106163, 14.918738534476727, 14.91568817521738, 14.911295041907362, 14.904247397776775, 14.901485211035482, 14.900383451682512, 14.892010621365554, 14.888918806625526, 14.884671865574862, 14.881140326133814, 14.879580331239477]"
